,지구별,주차장명,주차대수,이용시간,날짜,주차구획수,연도,월,일,요일,휴일여부,아침 주차대수,낮 주차대수,저녁 주차대수,아침 이용시간,낮 이용시간,저녁 이용시간
39,PLT-008,여의도5주차장,444,117824,2024-09-23,141,2024,9,23,0,0,129.66,169.51,144.83,34407.792432432434,44982.7618018018,38433.44576576577
40,PLT-008,여의도1주차장,4109,439546,2024-09-22,462,2024,9,22,6,1,952.26,1750.39,1406.35,101864.70527135556,187241.8892528596,150439.40547578485
41,PLT-008,여의도4주차장,85,7214,2024-09-22,218,2024,9,22,6,1,19.7,36.21,29.09,1671.950588235294,3073.1639999999998,2468.885411764706
42,PLT-008,여의도3주차장,4137,539286,2024-09-22,785,2024,9,22,6,1,958.75,1762.31,1415.93,124979.86519184239,229729.61275226675,184576.5220558909
43,PLT-008,여의도5주차장,310,25789,2024-09-22,141,2024,9,22,6,1,71.84,132.06,106.1,5976.392774193549,10986.114,8826.493225806451
44,PLT-008,여의도2주차장,2587,121028,2024-09-22,176,2024,9,22,6,1,599.54,1102.03,885.43,28048.36765365288,51556.43093931195,41423.20140703517
45,PLT-008,여의도5주차장,183,16856,2024-09-21,141,2024,9,21,5,1,43.68,76.01,63.31,4023.333770491803,7001.227103825137,5831.43912568306
46,PLT-008,여의도2주차장,1900,103130,2024-09-21,176,2024,9,21,5,1,453.49,789.21,657.3,24614.95984210526,42837.48805263158,35677.55210526316
47,PLT-008,여의도1주차장,3413,252091,2024-09-21,462,2024,9,21,5,1,814.62,1417.67,1180.71,60169.461007910926,104711.93904775857,87209.5999443305
48,PLT-008,여의도4주차장,61,6713,2024-09-21,218,2024,9,21,5,1,14.56,25.34,21.1,1602.3160655737704,2788.6462295081965,2322.037704918033
49,PLT-008,여의도3주차장,1363,116175,2024-09-21,785,2024,9,21,5,1,325.32,566.15,471.52,27728.780842119162,48256.022604714635,40190.1965531662
50,PLT-008,여의도4주차장,201,71507,2024-09-20,218,2024,9,20,4,0,61.38,76.27,63.35,21836.31671641791,27133.526815920395,22537.156467661694
51,PLT-008,여의도5주차장,356,93802,2024-09-20,141,2024,9,20,4,0,108.71,135.09,112.19,28644.668164836086,35595.697013961064,29561.634821202842
52,PLT-008,여의도1주차장,1214,250939,2024-09-20,462,2024,9,20,4,0,370.72,460.68,382.6,76629.41192751237,95224.5292586491,79085.05881383856
53,PLT-008,여의도2주차장,703,122327,2024-09-20,176,2024,9,20,4,0,214.68,266.77,221.55,37355.846884779516,46419.877368421054,38551.27574679944
54,PLT-008,여의도3주차장,991,312717,2024-09-20,785,2024,9,20,4,0,302.62,376.06,312.32,95493.8633097881,118668.3703531786,98554.7663370333
55,PLT-008,여의도4주차장,178,61284,2024-09-19,218,2024,9,19,3,0,49.64,70.55,57.82,17089.701477445087,24288.44559294422,19905.852929610697
56,PLT-008,여의도2주차장,1220,121549,2024-09-19,176,2024,9,19,3,0,340.21,483.51,396.28,33895.23384426229,48172.25982786885,39481.506327868854
57,PLT-008,여의도5주차장,433,107860,2024-09-19,141,2024,9,19,3,0,120.75,171.61,140.65,30078.046696381145,42746.94487425233,35035.00842936653
58,PLT-008,여의도1주차장,1880,306115,2024-09-19,462,2024,9,19,3,0,524.25,745.08,610.66,85362.57573178581,121319.8815951149,99432.54267309932
59,PLT-008,여의도3주차장,863,264402,2024-09-19,785,2024,9,19,3,0,240.65,342.03,280.32,73729.24831981461,104789.58987253765,85883.16180764773
60,PLT-008,여의도4주차장,45,2482,2024-09-18,218,2024,9,18,2,2,10.07,19.92,15.01,555.4164444444444,1098.6986666666667,827.8848888888889
61,PLT-008,여의도3주차장,1147,110168,2024-09-18,785,2024,9,18,2,2,256.71,507.79,382.5,24656.693356582386,48772.63183958152,36738.6748038361
62,PLT-008,여의도1주차장,3384,55876,2024-09-18,462,2024,9,18,2,2,757.39,1498.13,1128.48,12505.887600472814,24736.85339243499,18633.2590070922
63,PLT-008,여의도5주차장,166,2311,2024-09-18,141,2024,9,18,2,2,37.15,73.49,55.36,517.1906626506023,1023.1047590361444,770.704578313253
64,PLT-008,여의도2주차장,2835,14400,2024-09-18,176,2024,9,18,2,2,634.51,1255.08,945.4,3222.91930483,6375.032010694923,4802.048684475078
65,PLT-008,여의도1주차장,4162,49771,2024-09-17,462,2024,9,17,1,2,1095.43,1634.66,1431.91,13099.62674915906,19547.972815953868,17123.400434887073
66,PLT-008,여의도3주차장,1325,105910,2024-09-17,785,2024,9,17,1,2,348.74,520.4,455.86,27875.512,41596.6520754717,36437.835924528306
67,PLT-008,여의도4주차장,53,794,2024-09-17,218,2024,9,17,1,2,13.95,20.82,18.23,208.98679245283017,311.9071698113208,273.10603773584904
68,PLT-008,여의도2주차장,3002,13075,2024-09-17,176,2024,9,17,1,2,790.12,1179.06,1032.82,3441.3121252498336,5135.312958027981,4498.374916722185
69,PLT-008,여의도5주차장,154,2599,2024-09-17,141,2024,9,17,1,2,40.53,60.48,52.98,684.0539645431522,1020.7644652250146,894.1815702318332
70,PLT-008,여의도3주차장,1518,127555,2024-09-16,785,2024,9,16,0,2,335.95,691.94,490.11,28229.316370223976,58142.56040843215,41183.12322134387
71,PLT-008,여의도2주차장,3342,30508,2024-09-16,176,2024,9,16,0,2,739.61,1523.37,1079.02,6751.652268102933,13906.335116696588,9850.012615200478
72,PLT-008,여의도4주차장,76,1765,2024-09-16,218,2024,9,16,0,2,16.82,34.64,24.54,390.6223684210526,804.4684210526316,569.9092105263157
73,PLT-008,여의도5주차장,148,1395,2024-09-16,141,2024,9,16,0,2,32.75,67.46,47.78,308.7117372795459,635.899047232921,450.3892154875329
74,PLT-008,여의도1주차장,4326,69691,2024-09-16,462,2024,9,16,0,2,957.38,1971.9,1396.72,15423.201474803514,31766.91699029126,22500.881534905224
75,PLT-008,여의도2주차장,2022,109292,2024-09-15,176,2024,9,15,6,1,467.88,913.99,640.13,25289.585044510386,49402.47036597429,34599.94458951533
76,PLT-008,여의도1주차장,3601,282996,2024-09-15,462,2024,9,15,6,1,833.25,1627.74,1140.01,65483.59261316301,127921.10775895584,89591.29962788115
77,PLT-008,여의도5주차장,196,10261,2024-09-15,141,2024,9,15,6,1,45.35,88.6,62.05,2374.165051020408,4638.3908163265305,3248.444132653061
78,PLT-008,여의도4주차장,41,2621,2024-09-15,218,2024,9,15,6,1,9.49,18.53,12.98,606.6656097560976,1184.5641463414634,829.770243902439
79,PLT-008,여의도3주차장,2608,302907,2024-09-15,785,2024,9,15,6,1,603.47,1178.88,825.65,70090.21751917178,136921.39730061352,95895.38518021471
