날짜,호선,역명,구분,아침 합계,낮 합계,저녁 합계
2020-02-13,7호선,뚝섬유원지,하차,1145,2078,3715
2020-02-14,7호선,뚝섬유원지,승차,3251,2283,2567
2020-02-14,7호선,뚝섬유원지,하차,1128,2406,4046
2020-02-15,7호선,뚝섬유원지,승차,1203,2720,1810
2020-02-15,7호선,뚝섬유원지,하차,577,2746,2154
2020-02-16,7호선,뚝섬유원지,승차,716,1846,959
2020-02-16,7호선,뚝섬유원지,하차,368,1607,1517
2020-02-17,7호선,뚝섬유원지,승차,3385,1864,1473
2020-02-17,7호선,뚝섬유원지,하차,1126,1701,3578
2020-02-18,7호선,뚝섬유원지,승차,3280,1922,1645
2020-02-18,7호선,뚝섬유원지,하차,1096,1817,3590
2020-02-19,7호선,뚝섬유원지,승차,3267,2143,1840
2020-02-19,7호선,뚝섬유원지,하차,1117,2033,3693
2020-02-20,7호선,뚝섬유원지,승차,3221,2082,1949
2020-02-20,7호선,뚝섬유원지,하차,1133,2137,3734
2020-02-21,7호선,뚝섬유원지,승차,3109,2170,1617
2020-02-21,7호선,뚝섬유원지,하차,1122,2087,3493
2020-02-22,7호선,뚝섬유원지,승차,1068,1980,1091
2020-02-22,7호선,뚝섬유원지,하차,531,1860,1699
2020-02-23,7호선,뚝섬유원지,승차,664,1536,1334
2020-02-23,7호선,뚝섬유원지,하차,329,1674,1342
2020-02-24,7호선,뚝섬유원지,승차,2947,1489,1546
2020-02-24,7호선,뚝섬유원지,하차,1026,1568,3346
2020-02-25,7호선,뚝섬유원지,승차,2798,1323,1242
2020-02-25,7호선,뚝섬유원지,하차,967,1230,3025
2020-02-26,7호선,뚝섬유원지,승차,2707,1419,1371
2020-02-26,7호선,뚝섬유원지,하차,976,1518,3038
2020-02-27,7호선,뚝섬유원지,승차,2638,1597,1738
2020-02-27,7호선,뚝섬유원지,하차,1067,1758,3060
2020-02-28,7호선,뚝섬유원지,승차,2481,1259,1145
2020-02-28,7호선,뚝섬유원지,하차,926,1334,2639
2020-02-29,7호선,뚝섬유원지,승차,861,1487,1539
2020-02-29,7호선,뚝섬유원지,하차,428,1853,1505
2020-03-01,7호선,뚝섬유원지,승차,497,1251,796
2020-03-01,7호선,뚝섬유원지,하차,300,1265,939
2020-03-02,7호선,뚝섬유원지,승차,2512,1387,1418
2020-03-02,7호선,뚝섬유원지,하차,952,1545,2889
2020-03-03,7호선,뚝섬유원지,승차,2501,1374,1418
2020-03-03,7호선,뚝섬유원지,하차,947,1534,2985
2020-03-04,7호선,뚝섬유원지,승차,2522,1274,1249
2020-03-04,7호선,뚝섬유원지,하차,913,1340,2793
2020-03-05,7호선,뚝섬유원지,승차,2507,1405,1371
2020-03-05,7호선,뚝섬유원지,하차,933,1454,2909
2020-03-06,7호선,뚝섬유원지,승차,2517,1518,1673
2020-03-06,7호선,뚝섬유원지,하차,896,1732,3107
2020-03-07,7호선,뚝섬유원지,승차,888,1686,1855
2020-03-07,7호선,뚝섬유원지,하차,435,2167,1747
2020-03-08,7호선,뚝섬유원지,승차,574,1773,3599
2020-03-08,7호선,뚝섬유원지,하차,276,3559,2218
2020-03-09,7호선,뚝섬유원지,승차,2637,1720,2622
2020-03-09,7호선,뚝섬유원지,하차,973,2509,3623
2020-03-10,7호선,뚝섬유원지,승차,2572,1294,1256
2020-03-10,7호선,뚝섬유원지,하차,952,1230,2775
2020-03-11,7호선,뚝섬유원지,승차,2582,1682,1910
2020-03-11,7호선,뚝섬유원지,하차,945,1991,3284
2020-03-12,7호선,뚝섬유원지,승차,2577,1701,2448
2020-03-12,7호선,뚝섬유원지,하차,964,2433,3373
2020-03-13,7호선,뚝섬유원지,승차,2468,1680,1939
2020-03-13,7호선,뚝섬유원지,하차,967,1911,3148
2020-03-14,7호선,뚝섬유원지,승차,953,2172,1988
2020-03-14,7호선,뚝섬유원지,하차,471,2952,1849
2020-03-15,7호선,뚝섬유원지,승차,541,1704,1433
2020-03-15,7호선,뚝섬유원지,하차,296,1979,1225
2020-03-16,7호선,뚝섬유원지,승차,2597,1552,1634
2020-03-16,7호선,뚝섬유원지,하차,958,1745,3187
2020-03-17,7호선,뚝섬유원지,승차,2565,1367,1866
2020-03-17,7호선,뚝섬유원지,하차,947,1665,3249
2020-03-18,7호선,뚝섬유원지,승차,2634,1884,3688
2020-03-18,7호선,뚝섬유원지,하차,1008,3160,4271
2020-03-19,7호선,뚝섬유원지,승차,2527,1374,1354
2020-03-19,7호선,뚝섬유원지,하차,955,1280,3030
2020-03-20,7호선,뚝섬유원지,승차,2552,1949,3098
2020-03-20,7호선,뚝섬유원지,하차,953,2965,3755
2020-03-21,7호선,뚝섬유원지,승차,970,2768,4727
2020-03-21,7호선,뚝섬유원지,하차,515,5746,2619
2020-03-22,7호선,뚝섬유원지,승차,600,2840,6062
2020-03-22,7호선,뚝섬유원지,하차,333,6710,3020
2020-03-23,7호선,뚝섬유원지,승차,2671,2025,3888
2020-03-23,7호선,뚝섬유원지,하차,1011,3624,4248
2020-03-24,7호선,뚝섬유원지,승차,2701,2115,4760
2020-03-24,7호선,뚝섬유원지,하차,997,4280,4675
2020-03-25,7호선,뚝섬유원지,승차,2654,2475,4776
2020-03-25,7호선,뚝섬유원지,하차,987,4794,4689
2020-03-26,7호선,뚝섬유원지,승차,2603,1924,1639
2020-03-26,7호선,뚝섬유원지,하차,977,2157,2998
2020-03-27,7호선,뚝섬유원지,승차,2524,1965,3697
2020-03-27,7호선,뚝섬유원지,하차,956,3053,4232
2020-03-28,7호선,뚝섬유원지,승차,993,3590,4959
2020-03-28,7호선,뚝섬유원지,하차,536,6673,2909
2020-03-29,7호선,뚝섬유원지,승차,583,2934,6264
2020-03-29,7호선,뚝섬유원지,하차,352,7054,3042
2020-03-30,7호선,뚝섬유원지,승차,2712,2038,4233
2020-03-30,7호선,뚝섬유원지,하차,1029,4057,4285
2020-03-31,7호선,뚝섬유원지,승차,2755,2097,4197
2020-03-31,7호선,뚝섬유원지,하차,1036,4010,4435
2020-04-01,7호선,뚝섬유원지,승차,2684,2461,3974
2020-04-01,7호선,뚝섬유원지,하차,1033,4183,4225
2020-04-02,7호선,뚝섬유원지,승차,2703,2179,3689
2020-04-02,7호선,뚝섬유원지,하차,999,3776,4113
2020-04-03,7호선,뚝섬유원지,승차,2688,2266,4107
2020-04-03,7호선,뚝섬유원지,하차,969,3926,4296
2020-04-04,7호선,뚝섬유원지,승차,954,3578,4817
2020-04-04,7호선,뚝섬유원지,하차,532,6570,2743
2020-04-05,7호선,뚝섬유원지,승차,589,2434,3789
2020-04-05,7호선,뚝섬유원지,하차,361,4705,1961
2020-04-06,7호선,뚝섬유원지,승차,2824,1931,2574
2020-04-06,7호선,뚝섬유원지,하차,1036,2770,3725
2020-04-07,7호선,뚝섬유원지,승차,2790,1999,2679
2020-04-07,7호선,뚝섬유원지,하차,1016,2758,3816
2020-04-08,7호선,뚝섬유원지,승차,2762,2013,2585
2020-04-08,7호선,뚝섬유원지,하차,1073,2717,3663
2020-04-09,7호선,뚝섬유원지,승차,2795,2009,2467
2020-04-09,7호선,뚝섬유원지,하차,999,2641,3723
2020-04-10,7호선,뚝섬유원지,승차,2760,2015,3034
2020-04-10,7호선,뚝섬유원지,하차,997,2889,3961
2020-04-11,7호선,뚝섬유원지,승차,1049,2706,3453
2020-04-11,7호선,뚝섬유원지,하차,546,4622,2430
2020-04-12,7호선,뚝섬유원지,승차,680,2085,2457
2020-04-12,7호선,뚝섬유원지,하차,367,3277,1730
2020-04-13,7호선,뚝섬유원지,승차,2892,1832,2525
2020-04-13,7호선,뚝섬유원지,하차,1020,2517,3978
2020-04-14,7호선,뚝섬유원지,승차,2912,1902,2938
2020-04-14,7호선,뚝섬유원지,하차,1067,2632,4207
2020-04-15,7호선,뚝섬유원지,승차,941,2628,3894
2020-04-15,7호선,뚝섬유원지,하차,506,4860,2397
2020-04-16,7호선,뚝섬유원지,승차,2832,1946,3042
2020-04-16,7호선,뚝섬유원지,하차,1009,2681,4338
2020-04-17,7호선,뚝섬유원지,승차,2747,1526,1671
2020-04-17,7호선,뚝섬유원지,하차,964,1508,3288
2020-04-18,7호선,뚝섬유원지,승차,1070,3084,5486
2020-04-18,7호선,뚝섬유원지,하차,582,6090,3498
2020-04-19,7호선,뚝섬유원지,승차,707,1832,820
2020-04-19,7호선,뚝섬유원지,하차,360,1836,1052
2020-04-20,7호선,뚝섬유원지,승차,2944,1681,1496
