지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),일강수량(mm),평균 이슬점온도(°C),평균 상대습도(%)
108,서울,2021-11-22,2.7,-.6,2342,7.5,1,2.92,1.3,-4,61.8
108,서울,2021-11-23,-.6,-3.7,728,2.3,1519,,,-7.3,60.9
108,서울,2021-11-24,4.1,-2.6,248,9.1,1330,.17,0,-2.1,64.3
108,서울,2021-11-25,5.7,2.6,2352,9.9,1356,,,-3.2,55
108,서울,2021-11-26,2.9,-.5,556,7.2,1214,.83,0,-4.9,57.5
108,서울,2021-11-27,3.4,-1.4,730,10.1,1503,,,-5.7,53
108,서울,2021-11-28,5.1,-1.3,743,12.4,1415,,,-4.4,52.4
108,서울,2021-11-29,7.6,2.5,606,13.7,1541,,,.7,62
108,서울,2021-11-30,5.7,.7,2356,8.9,1334,13.75,27.2,2.4,80.4
108,서울,2021-12-01,-1.3,-3,2335,1.5,1541,,,-10,51.8
108,서울,2021-12-02,1.3,-4.6,724,5,2029,2.58,.1,-3.9,68.9
108,서울,2021-12-03,1.9,-1.8,2348,4.6,319,2,.4,-7.2,53.3
108,서울,2021-12-04,1.4,-2.7,420,7,1454,,,-8.5,48.5
108,서울,2021-12-05,2.9,-2.3,728,9.6,1423,,,-6.7,50.4
108,서울,2021-12-06,5.4,-.7,654,12.1,1421,,,-1.7,61.4
108,서울,2021-12-07,6.8,2.6,721,13.3,1512,,,1,68.3
108,서울,2021-12-08,6.7,1.9,731,13.3,1456,,,1.2,70
108,서울,2021-12-09,6.5,2.7,526,9.7,1440,,,1.3,70.3
108,서울,2021-12-10,7,5.8,2139,8.2,1441,2.78,.7,3.9,81.5
108,서울,2021-12-11,6,4.4,753,9.8,1338,,,3.3,83.6
108,서울,2021-12-12,1.2,-3.8,2342,5.1,7,,,-5.9,61.8
108,서울,2021-12-13,-2.2,-5.9,640,1.9,1540,,,-13.1,43.8
108,서울,2021-12-14,3.7,-.7,1,8.2,1349,7.58,1.2,-2.6,64.9
108,서울,2021-12-15,7.2,5.4,2358,10,1226,4.25,2.1,4.7,84.8
108,서울,2021-12-16,6.4,3.3,2355,9.8,1322,.38,0,1.3,71.6
108,서울,2021-12-17,-5.6,-10.1,2333,3.2,1,,,-14.5,50.5
108,서울,2021-12-18,-5.7,-11.2,801,-1.8,1402,4.33,2.8,-12,64.1
108,서울,2021-12-19,-.8,-5.8,811,4.2,1544,1.17,.2,-7.1,63.8
108,서울,2021-12-20,5.2,-.9,1,11.1,1336,.33,0,1.5,77.9
108,서울,2021-12-21,5.2,.8,2358,8.9,1508,,,-.4,70.9
108,서울,2021-12-22,2.2,-2.6,717,8.2,1512,,,-8.2,47.4
108,서울,2021-12-23,2.7,-1.5,716,8.3,1451,,,-6.1,53.5
108,서울,2021-12-24,-.3,-7.3,2400,3.2,1157,2.33,.2,-6,65.3
108,서울,2021-12-25,-11.7,-14.4,2258,-7.3,1,,,-22,42.4
108,서울,2021-12-26,-12.1,-15.5,817,-7.3,1526,,,-22.1,43.5
108,서울,2021-12-27,-7.6,-12.9,123,-3.9,1634,2.08,0,-14,60.9
108,서울,2021-12-28,-4.1,-8.5,712,-.9,1600,,,-8.2,73.8
108,서울,2021-12-29,.4,-3.8,154,5.9,1518,1.58,.2,-4,72.9
108,서울,2021-12-30,-3.9,-6.8,714,.2,1531,.5,0,-13.3,48.5
108,서울,2021-12-31,-6.7,-8.8,745,-3.9,1510,,,-19.5,35.9
108,서울,2022-01-01,-4.3,-10.2,710,2.3,1544,,,-14.4,46.3
108,서울,2022-01-02,-1.3,-5.2,2356,3,1551,4.17,.3,-8.8,57.9
108,서울,2022-01-03,-1.9,-8,714,2.5,1542,4,0,-9.3,58.3
108,서울,2022-01-04,-2.5,-5.6,2400,1,1445,.92,0,-11.8,51.8
108,서울,2022-01-05,-2.8,-7.8,634,1.9,1518,,,-12.5,47.6
108,서울,2022-01-06,-2.2,-5.9,745,3.3,1604,,,-12.3,47.1
108,서울,2022-01-07,-1.6,-5.9,634,4.5,1525,,,-12,47.1
108,서울,2022-01-08,.3,-5,729,3.7,1623,.17,0,-5.7,64.3
108,서울,2022-01-09,1.3,-1.2,2353,5.6,1522,,,-3.5,71.5
108,서울,2022-01-10,.5,-3.4,735,4.4,1348,3.83,.9,-5.1,68.3
108,서울,2022-01-11,-7.4,-10.3,2326,.3,1,1.5,.2,-14.9,55.5
108,서울,2022-01-12,-7.7,-11.3,223,-3.4,1521,,,-17,47.8
108,서울,2022-01-13,-6.4,-8.9,2352,-3.1,1456,,,-16.3,45.8
108,서울,2022-01-14,-4.8,-10.1,750,1.3,1526,,,-16.3,41.8
108,서울,2022-01-15,-1,-5.3,426,1.8,1545,.92,0,-10.6,48.3
108,서울,2022-01-16,-2,-7.2,2352,2.4,208,.42,0,-10.4,54.5
108,서울,2022-01-17,-5.8,-9.2,518,.1,1317,4.92,.5,-12.5,59.9
108,서울,2022-01-18,-5.6,-9.9,744,-.7,1514,,,-15.3,47.9
108,서울,2022-01-19,-5.3,-7.7,2357,-2.7,1558,7.08,1.7,-9.6,72.3
108,서울,2022-01-20,-5,-9.8,605,.9,1603,,,-11.1,63.5
108,서울,2022-01-21,-2.7,-8.7,755,4.6,1534,,,-10.9,55.6
108,서울,2022-01-22,.3,-5,734,7.1,1512,,,-8.7,52.4
108,서울,2022-01-23,2,-.6,549,6.7,1411,,,-6.8,52.4
108,서울,2022-01-24,4.6,1.3,1,8.4,1329,,,-3.6,56
108,서울,2022-01-25,2.8,1.9,822,4.5,1,11.75,.7,-.4,80
108,서울,2022-01-26,1.3,-1.9,639,6.8,1429,,,-5.7,62.8
108,서울,2022-01-27,-1.1,-4.6,757,4,1541,,,-10.5,50
108,서울,2022-01-28,-2.7,-5.9,811,2.1,1516,,,-11.5,51.6
108,서울,2022-01-29,-3.6,-7.2,741,.9,1531,,,-13.3,48.9
108,서울,2022-01-30,-2.8,-8,713,2.4,1629,,,-13.4,45.4
108,서울,2022-01-31,-.7,-6.8,736,4.8,1507,2.75,1.2,-7.9,59
108,서울,2022-02-01,-1.3,-2.7,2345,.9,1601,4.83,1.7,-4.9,76.6
108,서울,2022-02-02,-3.4,-6,541,0,1529,,,-10.4,60.5
108,서울,2022-02-03,-3.4,-6.9,746,.4,1458,,,-12.2,52.4
108,서울,2022-02-04,-5.2,-8.2,2356,-.7,1404,.67,0,-13.4,53.3
108,서울,2022-02-05,-6.6,-9.7,742,-2,1508,,,-15.7,48.8
108,서울,2022-02-06,-3.9,-8.4,500,1.7,1537,,,-13,50.3
108,서울,2022-02-07,-2.5,-7.3,510,1.9,1259,,,-11.6,51.3
108,서울,2022-02-08,-.1,-4.1,629,5.6,1555,,,-9,53.8
108,서울,2022-02-09,1,-4.3,757,7.2,1400,,,-8.4,52.3
108,서울,2022-02-10,1.4,-3.2,707,6.7,1544,,,-6.3,57.8
108,서울,2022-02-11,2.9,-2.6,740,8.8,1449,,,-4.3,61.1
108,서울,2022-02-12,4.8,-.1,727,10.4,1605,,,-6.1,50.4
108,서울,2022-02-13,4.8,1.6,330,9.5,1616,,,-6.3,44.9
108,서울,2022-02-14,2.5,-1.3,2352,8.1,1248,2.42,1.7,-3,68.3
108,서울,2022-02-15,-4.7,-7.7,2321,-1.3,1,12.17,0,-11.8,58
108,서울,2022-02-16,-7.3,-9.6,2400,-4.1,1526,.33,0,-16.1,50.4
108,서울,2022-02-17,-6.2,-10.7,752,-.5,1554,,,-17.3,41.6
108,서울,2022-02-18,-1.2,-8,716,5.7,1531,,,-13.5,40.4
108,서울,2022-02-19,-1.7,-6.2,2345,3.7,1403,2.17,.1,-10.3,52.9
108,서울,2022-02-20,-4.8,-8.4,703,-.5,1548,,,-16.3,41.1
108,서울,2022-02-21,-3,-8.1,623,3.6,1415,2.58,.1,-10.6,56.3
108,서울,2022-02-22,-4.5,-8,2400,.5,1438,,,-15.2,43.3
108,서울,2022-02-23,-5.6,-10,721,-.6,1623,,,-18,38.5
108,서울,2022-02-24,-2.4,-8.5,508,3.7,1454,,,-11.1,52.4
108,서울,2022-02-25,3,-3.6,716,8.4,1537,,,-.7,77.5
108,서울,2022-02-26,5.4,1,2355,9.3,1313,3.58,1.1,1.8,78.4
108,서울,2022-02-27,3.7,-1.6,730,9.1,1513,,,-4.5,56.6
108,서울,2022-02-28,6.8,2.7,48,11.5,1626,,,-.5,62.3
108,서울,2022-03-01,5.8,.3,2355,9.7,1616,7.08,2.3,.5,70.5
108,서울,2022-03-02,3.5,-2.3,611,8.8,1256,,,-5,55.9
108,서울,2022-03-03,5.8,.9,720,12.4,1413,,,-4.6,52.9
108,서울,2022-03-04,6.9,.6,652,14.6,1338,,,-.5,60.5
108,서울,2022-03-05,2.3,-.7,2341,6.7,1600,,,-11,38.4
108,서울,2022-03-06,1.4,-3,629,6.8,1603,,,-11.5,39.5
108,서울,2022-03-07,2.8,-2.7,703,8.7,1505,,,-8.1,45.8
108,서울,2022-03-08,6,1.1,307,12.3,1455,,,-2.3,56.1
108,서울,2022-03-09,7.1,1.7,706,14.8,1520,,,1.3,69.6
108,서울,2022-03-10,9.3,4.2,658,15.8,1534,,,-1.6,51.4
108,서울,2022-03-11,11.2,5.1,641,18.4,1544,,,3.2,58.4
108,서울,2022-03-12,12.8,6.3,632,19.5,1408,3.33,2.6,7.6,72.1
108,서울,2022-03-13,11.7,10.7,111,12.6,1,12.42,42.1,10.9,95.5
108,서울,2022-03-14,8.2,4.9,2350,13.2,1205,5.58,8.7,6.6,90.3
108,서울,2022-03-15,7.2,2.3,702,13.3,1538,,,2.2,72.6
108,서울,2022-03-16,10.3,3.6,703,16.8,1513,,,3,62.6
108,서울,2022-03-17,10.7,7.8,2333,15.1,1413,5.5,1.2,3.5,62
108,서울,2022-03-18,7.5,5.5,2356,9.6,1246,4.17,0,.3,60.8
108,서울,2022-03-19,3.4,.9,721,6.1,1557,11.58,14.6,1,84.6
108,서울,2022-03-20,5.4,2.2,2400,9.3,1556,3.58,0,-.8,66.1
108,서울,2022-03-21,5,-.3,640,10.9,1355,,,-5.1,49.5
108,서울,2022-03-22,7.1,1.1,637,13.6,1617,,,-3.5,48.9
108,서울,2022-03-23,6.2,4.9,616,8.2,1615,,,-1.9,56.8
108,서울,2022-03-24,8.2,3.9,453,12.4,1459,,,3.1,70.6
108,서울,2022-03-25,12,6.3,559,17.2,1549,4.75,10.9,6.2,70
108,서울,2022-03-26,11.8,9.5,959,14.7,1735,11.08,19.8,8.2,80.9
108,서울,2022-03-27,8.1,5,2354,12.6,1432,,,-2.7,49.1
108,서울,2022-03-28,8.2,1.5,611,15.1,1600,,,-6.9,35.6
108,서울,2022-03-29,9.7,3.3,533,15.6,1545,,,.3,52.9
108,서울,2022-03-30,10.8,5.9,629,15.7,1209,3.25,.4,6.6,76.5
108,서울,2022-03-31,10.9,7.6,2352,14.7,1421,,,3.8,63.5
108,서울,2022-04-01,9.2,4.5,620,14.9,1347,,,-1.3,50.5
108,서울,2022-04-02,8.2,3.7,618,14.2,1444,,,-1.1,55
108,서울,2022-04-03,9.6,3.5,629,17,1527,,,-.2,55
108,서울,2022-04-04,10.3,5.1,638,16.4,1328,,,-.7,50.3
108,서울,2022-04-05,10.3,4.9,615,15.8,1409,,,-3,41.1
108,서울,2022-04-06,11.7,8,600,17,1431,,,1.4,52.3
108,서울,2022-04-07,10.9,7.4,2359,15.7,1310,,,-1.8,43.5
108,서울,2022-04-08,12.9,5.1,612,20,1521,,,1.4,49
108,서울,2022-04-09,17.8,12.4,751,24.2,1418,1.08,.5,5,43.8
108,서울,2022-04-10,18.2,12.7,614,25.1,1501,,,5.6,46
108,서울,2022-04-11,19.6,13.4,556,26.6,1529,,,11.2,60.4
108,서울,2022-04-12,19.3,15.9,2358,26.4,1449,4,.5,15,77.9
108,서울,2022-04-13,13.1,12,2135,15.9,1,5.5,1.3,7.2,69.3
108,서울,2022-04-14,13.2,11.4,2335,15.3,1411,,,3.8,53.4
108,서울,2022-04-15,13.3,7.5,627,19.3,1602,,,1.7,46.8
108,서울,2022-04-16,13.2,7.1,557,20.2,1513,,,1.5,48.5
108,서울,2022-04-17,14,7.2,559,21.9,1418,,,3.5,53.8
108,서울,2022-04-18,15.2,11.4,309,21.6,1427,,,2.6,46.1
108,서울,2022-04-19,15.2,8.9,614,22.1,1357,,,4.6,51.9
108,서울,2022-04-20,15.7,9.7,610,22.1,1357,,,4,48.8
108,서울,2022-04-21,16.3,9.6,543,22.7,1343,,,4.4,48.4
108,서울,2022-04-22,15,13.2,2349,16.8,929,,,10.8,76.8
108,서울,2022-04-23,17.7,10.4,539,25.3,1555,,,7.2,57.3
108,서울,2022-04-24,18.5,15,608,24.5,1418,4.75,.3,13.1,72.5
108,서울,2022-04-25,20,17,1,23.6,1606,11.25,1.3,16.3,80.5
108,서울,2022-04-26,21.9,17,437,28.7,1451,4.83,1,12.5,57.9
108,서울,2022-04-27,17.7,12.6,528,23.9,1551,,,.1,31.5
108,서울,2022-04-28,18.2,11.6,603,25.9,1432,.25,0,4.9,44
108,서울,2022-04-29,13.4,10.7,619,16.5,1236,9.75,15.5,7.8,70.6
108,서울,2022-04-30,13,10.5,143,17.8,1326,,,7,68
108,서울,2022-05-01,13.4,7.9,514,19.2,1512,,,3.3,54.8
108,서울,2022-05-02,14.2,9.1,538,19.4,1508,,,4.3,56.5
108,서울,2022-05-03,14.8,9.1,606,20.8,1535,,,2.2,45.9
108,서울,2022-05-04,17.8,10,620,25.2,1348,,,4.8,43.3
108,서울,2022-05-05,18.9,12.5,557,25.8,1501,,,7.1,48.1
108,서울,2022-05-06,19.6,13.7,530,25.6,1345,,,12.8,67.1
108,서울,2022-05-07,18.4,15.3,754,23.1,1319,3.92,.5,6.3,52.4
108,서울,2022-05-08,15.3,11.7,2344,18.2,1230,5.58,2,4.6,51.8
108,서울,2022-05-09,17.9,11,613,25.3,1620,,,8.2,56.4
108,서울,2022-05-10,19.9,13.6,547,26.3,1529,1.33,0,4.1,39
108,서울,2022-05-11,19.7,16.6,2353,25.2,1508,.92,0,8.7,50.4
108,서울,2022-05-12,20.9,14.1,607,28.1,1540,,,9.8,51.5
108,서울,2022-05-13,19.4,15,2358,25.2,1355,,,6.9,45.8
108,서울,2022-05-14,15.7,11.9,545,20,1342,,,3.5,45.5
108,서울,2022-05-15,16.2,10.5,516,22.4,1509,,,1.8,39.8
108,서울,2022-05-16,17.3,10.9,537,23.7,1352,,,8,56.3
108,서울,2022-05-17,20,13,551,27.4,1527,,,11.3,60.1
108,서울,2022-05-18,20,15.7,442,25.4,1404,2.33,1.5,11.4,59.4
108,서울,2022-05-19,19.9,16.1,614,24.2,1406,,,9.9,53.6
108,서울,2022-05-20,20.6,15.6,543,25.8,1322,,,10.1,52.8
108,서울,2022-05-21,20.1,16.1,2349,26,1420,,,14.2,70.8
108,서울,2022-05-22,20.3,15.7,315,25.8,1450,,,14.5,70.9
108,서울,2022-05-23,23,17.8,108,30.7,1513,,,15.1,63.5
108,서울,2022-05-24,22.9,16.7,528,30.2,1450,,,12.9,56.8
108,서울,2022-05-25,21,16.7,2400,26.7,1211,4.92,3.5,13.9,66.6
108,서울,2022-05-26,18.7,14.1,540,23.5,1513,.75,0,9.7,59.9
108,서울,2022-05-27,20,16,601,25.6,1552,.17,0,12.2,62.5
108,서울,2022-05-28,22.3,15,439,29.3,1426,,,11.7,54.1
108,서울,2022-05-29,23.1,19.3,446,29.7,1648,,,16.1,66.4
108,서울,2022-05-30,20.8,17.2,2335,24.7,1237,1.08,0,15.2,71
108,서울,2022-05-31,20.7,14.2,525,27.2,1428,,,6.4,42.4
108,서울,2022-06-01,22.1,16.2,547,28.6,1415,,,7.3,41.6
108,서울,2022-06-02,21.5,17.1,150,26.9,1324,,,14.8,67.4
108,서울,2022-06-03,24.5,18.7,23,32.6,1506,,,16.3,62.8
108,서울,2022-06-04,25.6,20.3,546,29.7,1724,,,16,57
108,서울,2022-06-05,22.7,20.2,2132,27,1142,1.58,0,14.3,59.8
108,서울,2022-06-06,19.7,16.7,2323,24.5,1517,8,4.3,13.4,69
108,서울,2022-06-07,20.6,15.1,550,25.1,1236,.67,0,10.8,54.5
108,서울,2022-06-08,21.2,16.2,541,25.8,1449,,,13.3,61.6
108,서울,2022-06-09,20.9,18.5,517,24.5,1620,4.33,2.6,16.4,76.1
108,서울,2022-06-10,20.9,17.2,534,26.6,1128,2.67,1.2,16.2,75.8
108,서울,2022-06-11,24.6,17.7,527,32.7,1629,,,15.5,59.6
108,서울,2022-06-12,24.6,18.9,525,31.5,1520,,,15.5,58.9
108,서울,2022-06-13,23.6,19.6,513,29.2,1234,3.83,18,17.1,68.5
108,서울,2022-06-14,21.5,17.7,2357,27.1,1245,1.67,0,12.2,56.4
108,서울,2022-06-15,17.5,14.9,603,20.1,1921,17.58,18.5,16.2,92.4
108,서울,2022-06-16,20.3,17.6,619,24.8,1737,4.33,.7,16.1,78.4
108,서울,2022-06-17,22.5,16.5,533,28.1,1413,,,17.9,76.4
108,서울,2022-06-18,23.3,22,538,25.1,1722,.25,0,19.5,79.6
108,서울,2022-06-19,23.4,22.3,303,25.1,1719,,,20,81.6
108,서울,2022-06-20,25.2,22,543,29,1611,,,20.5,76.6
108,서울,2022-06-21,26.5,21.2,553,32.6,1539,,,20.8,72.6
108,서울,2022-06-22,25.9,21.9,344,31,1542,,,19.9,71.1
108,서울,2022-06-23,24.3,23.3,2216,26.4,1130,13.5,103,22.2,89.1
108,서울,2022-06-24,22.6,20.6,617,24.9,1805,6.83,19.1,21,90.9
108,서울,2022-06-25,26,21.5,221,30.5,1512,,,22.2,80.4
108,서울,2022-06-26,26.5,24.8,234,28.1,1500,,,23.1,82.1
108,서울,2022-06-27,26.8,25.4,454,28.1,1107,14.25,6.1,23.8,84.4
108,서울,2022-06-28,26.9,25.7,2337,27.9,1001,14.08,6.3,23.4,81.9
108,서울,2022-06-29,25.1,24.4,2134,26.1,1733,20.75,37.8,24.3,95.5
108,서울,2022-06-30,22.3,21.2,1739,24.5,1,22.83,176.2,22.1,99.3
108,서울,2022-07-01,26.6,21.9,1,30.9,1536,,,23.2,83.3
108,서울,2022-07-02,28.8,24,521,33.8,1601,,,23,72.8
108,서울,2022-07-03,29.3,24.4,612,34.2,1522,,,22.5,68.6
108,서울,2022-07-04,29.3,26.4,524,32.6,1621,.83,0,23.5,71.8
108,서울,2022-07-05,29.2,26.7,459,33.1,1545,1.42,0,23.9,73.8
108,서울,2022-07-06,29.5,26.2,502,33.3,1645,2.5,16.1,24.6,76
108,서울,2022-07-07,28.2,26.4,439,31,1608,3.67,0,24.8,82.3
108,서울,2022-07-08,25.8,24,2357,27.9,1647,6.25,1.7,22.8,84.4
108,서울,2022-07-09,26.9,24,1,30.9,1416,6,.1,23.4,82.1
108,서울,2022-07-10,29.2,24.6,529,35.1,1547,.42,0,22.2,68
108,서울,2022-07-11,27,24.7,316,30.6,1226,2.5,9,22,75
108,서울,2022-07-12,26.8,23.2,508,29.4,1402,,,21.5,73.1
108,서울,2022-07-13,25,24,1253,27.1,1,19.98,114.5,23.8,93.9
108,서울,2022-07-14,25.7,23.3,405,29.9,1533,5.92,.9,22.7,84.6
108,서울,2022-07-15,26,23,440,30.3,1544,,,21.2,76.5
108,서울,2022-07-16,24.8,23.2,2354,28.2,1323,4.08,34,21.7,83.4
108,서울,2022-07-17,25.5,22.5,406,29.7,1518,1.5,0,21.3,78.9
108,서울,2022-07-18,26.8,23.1,530,30.1,1258,,,22,76
108,서울,2022-07-19,27.4,24.3,532,31.1,1549,,,22.1,74.1
108,서울,2022-07-20,27.1,24.3,2400,30.4,1435,3.83,1.1,22.3,76.1
108,서울,2022-07-21,23.2,20.8,622,25.2,1840,10.83,10.4,20.9,87.6
108,서울,2022-07-22,25.1,22.9,507,27.5,1718,1.75,5.2,21.6,81.5
108,서울,2022-07-23,24.8,22.3,2320,28,1344,8.58,9.9,21.7,83.6
108,서울,2022-07-24,25,22,118,28.4,1627,3.67,1.2,22.5,86.9
108,서울,2022-07-25,27.5,23.6,546,32,1616,,,22.3,75
108,서울,2022-07-26,28.9,24.4,530,33.1,1428,,,23.2,72.5
108,서울,2022-07-27,29.3,26.4,547,33.4,1509,,,22.1,66.3
108,서울,2022-07-28,29.7,25.1,545,34.4,1509,,,21.9,63.8
108,서울,2022-07-29,30.7,27.3,511,34.3,1419,,,23.9,68.1
108,서울,2022-07-30,30.9,27.3,532,36.1,1440,2.33,1,24.2,68.4
108,서울,2022-07-31,27.2,25.4,2327,29,1,15.75,47.2,24.5,85.8
108,서울,2022-08-01,28.6,25.4,4,32.4,1420,14.83,30,25,82.4
108,서울,2022-08-02,26.8,25.5,2257,28.5,1,18.58,33.5,24.9,90
108,서울,2022-08-03,27.1,25.2,457,30,1600,13.25,51.1,25.2,90.1
108,서울,2022-08-04,28.9,26,549,32.9,1532,.42,0,24.8,79.3
108,서울,2022-08-05,29.4,27,111,32.7,1430,.5,0,24.7,76.6
108,서울,2022-08-06,28.7,27.4,454,30.3,1718,1.67,13.6,25.9,85.3
108,서울,2022-08-07,28.9,27.2,354,31.7,1421,3.33,.9,25.4,82.1
108,서울,2022-08-08,26.8,,,28.4,1,20.92,129.6,25.2,91.6
108,서울,2022-08-09,25.1,22,2354,26.5,1538,21.5,123.1,24.4,96
108,서울,2022-08-10,24.7,21.4,455,28.8,1503,6.5,7.6,21.8,85.3
108,서울,2022-08-11,25,23.4,528,27.5,1502,10.67,38.8,22.8,87.9
108,서울,2022-08-12,27,23,614,32.4,1557,,,21.5,73.8
108,서울,2022-08-13,25.8,24.7,1305,27.5,1743,4.67,4,22.5,82.8
108,서울,2022-08-14,27.6,24.5,553,31.5,1414,1.5,3,24.3,83
108,서울,2022-08-15,28.1,26.6,2357,29.8,1233,4.42,.9,24.9,83
108,서울,2022-08-16,26.7,24.1,652,30,1531,.75,0,21.8,75.4
108,서울,2022-08-17,26,22.8,618,30.5,1338,.75,0,21.4,76.6
108,서울,2022-08-18,25.6,22.4,556,29.8,1408,,,20.8,75.8
108,서울,2022-08-19,26,23.3,355,27.5,1527,10.33,66.1,23.4,86.1
108,서울,2022-08-20,28.2,25.7,628,32,1437,1.83,0,24.2,80
108,서울,2022-08-21,28.1,24.7,634,32,1549,,,23.1,75.3
108,서울,2022-08-22,26.8,22.9,2302,30.2,1356,2,3.2,22,75.6
108,서울,2022-08-23,25.4,22.4,513,30.2,1533,6.17,2.2,20.2,75
108,서울,2022-08-24,24.8,22.4,500,27.9,1145,,,18.1,66.9
108,서울,2022-08-25,22.2,21.1,2322,24,1054,7.08,1.6,18.1,78
108,서울,2022-08-26,23.8,19.9,626,28.4,1512,,,18.9,75.3
108,서울,2022-08-27,21.5,17.6,638,25.5,1541,.58,17.6,13.6,63.1
108,서울,2022-08-28,22.6,16.1,538,28.4,1644,,,13.8,59.4
108,서울,2022-08-29,21,19.5,940,22.5,1,11.58,2.2,16,74
108,서울,2022-08-30,19.1,17.9,527,20.3,1,21.42,35.8,18.5,96.3
108,서울,2022-08-31,21.7,19.6,32,24.9,1703,4.17,0,18.6,83.3
108,서울,2022-09-01,24,18.3,614,30.4,1553,,,17.8,70.8
108,서울,2022-09-02,24.7,20.3,648,29.8,1540,,,16.5,61.8
108,서울,2022-09-03,24.2,20.5,630,29.2,1456,,,16.6,63
108,서울,2022-09-04,22.3,19.8,632,24,1905,13.67,33.8,20.2,88.6
108,서울,2022-09-05,19.2,17.7,2103,22.7,1,24,120,18.4,95.9
108,서울,2022-09-06,21,17,254,26.3,1601,8.92,25.3,16.6,78
108,서울,2022-09-07,22.8,17.9,701,28.1,1511,,,14.9,65.3
108,서울,2022-09-08,23.2,16.7,635,29.5,1555,,,15.9,65.5
108,서울,2022-09-09,24.3,18.9,620,30.8,1526,,,15,59.1
108,서울,2022-09-10,23.6,19,646,28.4,1636,,,13,52.3
108,서울,2022-09-11,23.3,20.6,638,26.4,1331,1.83,.1,17,68.6
108,서울,2022-09-12,23.8,20.3,558,27.5,1541,,,19.2,76.1
108,서울,2022-09-13,24.3,21.8,626,26.4,1341,4.83,0,19,73
108,서울,2022-09-14,24.6,22.7,2334,27.9,1410,1.17,0,15.3,56.9
108,서울,2022-09-15,25.2,22,504,28.3,1539,.42,.1,18.5,66.9
108,서울,2022-09-16,25.7,23.4,605,29.9,1326,5.5,14.6,21.5,78.6
108,서울,2022-09-17,25.6,23.3,537,29.4,1619,1.92,4.3,22.3,83.1
108,서울,2022-09-18,27.1,23,616,32.5,1551,,,22,75.3
108,서울,2022-09-19,24.6,19.5,2359,29.6,1306,,,16.9,63.1
108,서울,2022-09-20,19.9,16.1,631,24.6,1506,,,10.7,57
108,서울,2022-09-21,19.4,13,626,25.6,1449,,,10.1,56.9
108,서울,2022-09-22,19.8,14.2,635,24.7,1454,,,11.6,60.1
108,서울,2022-09-23,17.5,14.7,2354,22.2,1026,.67,3.3,11.4,68.9
108,서울,2022-09-24,18.5,12.3,645,24.2,1503,,,11.1,64.6
108,서울,2022-09-25,19.6,15.4,553,25.2,1450,,,11.9,63.3
108,서울,2022-09-26,20,14.8,642,25.4,1456,,,10.8,58.5
108,서울,2022-09-27,20.9,14,642,28,1535,,,11.7,59
108,서울,2022-09-28,20.4,16.1,630,26.1,1617,,,14.7,71
108,서울,2022-09-29,20.4,16.4,612,26.5,1612,,,14.9,73.5
108,서울,2022-09-30,20.7,14.8,705,27.7,1522,,,13.9,68
108,서울,2022-10-01,20.9,14.4,641,27.6,1357,,,13,63.3
108,서울,2022-10-02,19.4,17.2,2232,21.6,1321,15.08,15.8,15.4,78.9
108,서울,2022-10-03,21.4,17.5,1,23.4,2004,22.58,76,21,98.5
108,서울,2022-10-04,17.9,14.2,2329,23,1,7.08,11.8,14.9,83.8
108,서울,2022-10-05,16.6,14.1,34,21.6,1519,3.58,.1,11.8,74.8
108,서울,2022-10-06,15.8,12.7,640,19.1,1419,2.25,0,11.6,76.6
108,서울,2022-10-07,14.3,11,651,18.6,1522,,,8.6,69.5
108,서울,2022-10-08,15.8,11.1,654,21.6,1508,,,8.7,64.6
108,서울,2022-10-09,13.1,10.7,2221,14.5,117,13.67,20.4,10.6,85.8
108,서울,2022-10-10,9.9,8.2,2034,11.9,1408,4.58,0,5.1,72.9
108,서울,2022-10-11,11.1,7.4,250,16.4,1531,,,5.4,69.1
108,서울,2022-10-12,13.5,6.5,645,20.6,1513,,,7.2,68.1
108,서울,2022-10-13,16.3,10.7,639,22.7,1435,,,10.2,69.6
108,서울,2022-10-14,17.1,12.4,529,23,1454,,,11.9,73.4
108,서울,2022-10-15,18.2,12.6,653,24.4,1505,,,11.8,68.5
108,서울,2022-10-16,16.9,15.1,2400,20.5,1202,,,12.1,73.9
108,서울,2022-10-17,11.2,7.4,2344,15.1,1,,,.6,50.3
108,서울,2022-10-18,9.4,5,657,14.2,1451,,,-.3,52.1
108,서울,2022-10-19,10.5,4.4,654,16.8,1510,,,1.9,57.8
108,서울,2022-10-20,12.9,6,711,19.7,1500,,,5.7,64.4
108,서울,2022-10-21,14,8.8,707,20.9,1431,,,7.7,68.8
108,서울,2022-10-22,15.1,10.5,724,20.8,1412,,,10.6,76.3
108,서울,2022-10-23,14,10.4,2356,18.6,1459,,,6.8,65
108,서울,2022-10-24,10.6,7.5,2356,14.8,1521,,,.6,52.6
108,서울,2022-10-25,11.3,5.9,531,17.6,1535,,,2.6,56.5
108,서울,2022-10-26,12.9,8,653,17.8,1350,,,4.5,58.3
108,서울,2022-10-27,13.2,8.6,701,18.9,1414,,,7.9,71.8
108,서울,2022-10-28,13.6,8.2,636,20.6,1525,,,7.9,70.1
108,서울,2022-10-29,14.8,10.2,709,21.3,1507,,,8,65.9
