지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),일강수량(mm),평균 상대습도(%)
108,서울,2021-09-10,23.6,19.5,615,28.9,1423,,,76
108,서울,2021-09-11,24,19.9,619,29.4,1449,,,73.1
108,서울,2021-09-12,24.2,19.2,624,29.8,1557,,,64.6
108,서울,2021-09-13,24.8,20.8,610,30.3,1504,,,67.1
108,서울,2021-09-14,24.6,20,615,29.5,1626,,,63.3
108,서울,2021-09-15,23.6,19.5,620,28.9,1442,,,57.5
108,서울,2021-09-16,22.9,18,551,27.3,1323,,,61.1
108,서울,2021-09-17,23.5,20.5,658,28.2,1506,,,61.4
108,서울,2021-09-18,23.9,18.9,653,29.8,1529,,,65.1
108,서울,2021-09-19,23.7,20.8,2356,27.8,1513,,,62.9
108,서울,2021-09-20,23.7,19,603,28.4,1523,,,63.6
108,서울,2021-09-21,22,17.4,2353,26.2,1446,9.58,68.1,85.1
108,서울,2021-09-22,20.2,16.8,436,24.3,1524,2,4.5,79
108,서울,2021-09-23,20.9,16.9,300,25.9,1617,,,67.3
108,서울,2021-09-24,21.8,16.7,619,26.9,1529,,,67.5
108,서울,2021-09-25,21.2,18.7,427,23.1,1607,,,72.6
108,서울,2021-09-26,22.6,18.4,645,27.3,1535,,,63
108,서울,2021-09-27,21.6,18.7,544,25,1208,5.67,0,66
108,서울,2021-09-28,21.5,19.6,410,24.4,1247,9.28,1.3,75.1
108,서울,2021-09-29,20.2,17.8,2400,21.4,1132,12.25,13.1,93.5
108,서울,2021-09-30,20.3,16,609,25.9,1506,,,83.9
108,서울,2021-10-01,21.1,16.9,605,27.5,1416,2.17,13.3,75.8
108,서울,2021-10-02,20.7,16.4,540,26.6,1516,,,77.1
108,서울,2021-10-03,22.3,17.1,552,28.8,1447,,,69.5
108,서울,2021-10-04,22.9,19.2,223,25.6,1509,6.17,3.6,81
108,서울,2021-10-05,23.6,21.7,2338,26.5,1335,2.92,0,82.4
108,서울,2021-10-06,18.8,17.9,829,21.7,1,11.92,6.4,91.5
108,서울,2021-10-07,19.4,17.9,2353,21.9,1345,6.08,4.6,85.5
108,서울,2021-10-08,18.8,17.5,117,20,1359,8.58,3.5,91.3
108,서울,2021-10-09,20.9,18.5,339,24.1,1632,3.5,.4,83.5
108,서울,2021-10-10,19.9,14.9,2357,24.3,1209,13.33,14.2,89
108,서울,2021-10-11,15.2,12.6,646,17.8,1614,4.83,.3,78.6
108,서울,2021-10-12,17.9,15.8,130,21.3,1556,,,67.1
108,서울,2021-10-13,19.6,14.9,445,25.2,1555,,,66.6
108,서울,2021-10-14,19.7,17.4,659,23.9,1444,,,73.6
108,서울,2021-10-15,19,17,637,21.4,1356,7.83,0,74.4
108,서울,2021-10-16,10.7,4.2,2327,18.1,1,2.17,0,47.5
108,서울,2021-10-17,5.6,1.3,657,10.8,1548,,,37.4
108,서울,2021-10-18,9.6,2.8,453,16.1,1347,4.08,5.6,60.4
108,서울,2021-10-19,10.9,7.1,2359,15,1336,2.75,4.4,72.8
108,서울,2021-10-20,9.5,4.6,612,15.8,1515,,,64.9
108,서울,2021-10-21,9.8,4.9,658,16.2,1511,,,64.1
108,서울,2021-10-22,10.8,5.2,658,17.2,1543,,,58.4
108,서울,2021-10-23,11.4,5.7,716,18.4,1408,,,57.3
108,서울,2021-10-24,11.4,6,713,18.1,1522,,,63.1
108,서울,2021-10-25,11.7,6.3,717,17.6,1528,,,64.5
108,서울,2021-10-26,13,7.7,638,19,1441,,,74.5
108,서울,2021-10-27,13.4,9.8,2349,18.1,1557,.75,0,63.4
108,서울,2021-10-28,12.7,7.1,709,20,1537,,,54.6
108,서울,2021-10-29,14.6,10.5,511,20.6,1456,,,55.9
108,서울,2021-10-30,13.8,11,704,18,1612,,,62.4
108,서울,2021-10-31,14.1,9.2,652,20.3,1426,.58,.7,73.3
108,서울,2021-11-01,12.9,10.3,717,16.9,1452,,,77.3
108,서울,2021-11-02,11.5,7.9,541,16.9,1452,,,76.6
108,서울,2021-11-03,12.1,7.6,709,17.1,1349,,,71.1
108,서울,2021-11-04,12.1,8.4,718,16.3,1611,.25,0,80.4
108,서울,2021-11-05,13,7.8,711,20.2,1432,,,68.5
108,서울,2021-11-06,14.1,8.8,617,21.3,1416,,,61.1
108,서울,2021-11-07,15.3,9.7,709,21.3,1332,,,57.5
108,서울,2021-11-08,8.6,4.5,2347,15.5,1,18.5,25.7,82.1
108,서울,2021-11-09,4.9,3,348,6.5,1630,11.08,2,80.3
108,서울,2021-11-10,4.2,.7,452,7.7,1526,4.58,.3,73.4
108,서울,2021-11-11,5.3,2.1,530,9.7,1238,.17,0,60.6
108,서울,2021-11-12,4.5,1.3,729,8.6,1413,,,55.4
108,서울,2021-11-13,7.3,.5,704,13.4,1336,,,66.1
108,서울,2021-11-14,11.3,7.8,509,16.4,1332,,,69.8
108,서울,2021-11-15,10.1,5.8,738,15.7,1432,,,71.3
108,서울,2021-11-16,8.5,4.4,716,13.6,1358,,,65.5
108,서울,2021-11-17,7.5,2.7,655,12.5,1248,,,64.1
108,서울,2021-11-18,11.9,7.7,25,16.2,1410,2.08,0,70.8
108,서울,2021-11-19,12.9,10.2,2356,16.7,1425,,,84.8
108,서울,2021-11-20,10.4,6.8,728,15.6,1446,,,77
108,서울,2021-11-21,10.4,7.6,2358,13.1,1350,2.92,5.9,74.4
108,서울,2021-11-22,2.7,-.6,2342,7.5,1,2.92,1.3,61.8
108,서울,2021-11-23,-.6,-3.7,728,2.3,1519,,,60.9
108,서울,2021-11-24,4.1,-2.6,248,9.1,1330,.17,0,64.3
108,서울,2021-11-25,5.7,2.6,2352,9.9,1356,,,55
108,서울,2021-11-26,2.9,-.5,556,7.2,1214,.83,0,57.5
108,서울,2021-11-27,3.4,-1.4,730,10.1,1503,,,53
108,서울,2021-11-28,5.1,-1.3,743,12.4,1415,,,52.4
108,서울,2021-11-29,7.6,2.5,606,13.7,1541,,,62
108,서울,2021-11-30,5.7,.7,2356,8.9,1334,13.75,27.2,80.4
108,서울,2021-12-01,-1.3,-3,2335,1.5,1541,,,51.8
108,서울,2021-12-02,1.3,-4.6,724,5,2029,2.58,.1,68.9
108,서울,2021-12-03,1.9,-1.8,2348,4.6,319,2,.4,53.3
108,서울,2021-12-04,1.4,-2.7,420,7,1454,,,48.5
108,서울,2021-12-05,2.9,-2.3,728,9.6,1423,,,50.4
108,서울,2021-12-06,5.4,-.7,654,12.1,1421,,,61.4
108,서울,2021-12-07,6.8,2.6,721,13.3,1512,,,68.3
108,서울,2021-12-08,6.7,1.9,731,13.3,1456,,,70
108,서울,2021-12-09,6.5,2.7,526,9.7,1440,,,70.3
108,서울,2021-12-10,7,5.8,2139,8.2,1441,2.78,.7,81.5
108,서울,2021-12-11,6,4.4,753,9.8,1338,,,83.6
108,서울,2021-12-12,1.2,-3.8,2342,5.1,7,,,61.8
108,서울,2021-12-13,-2.2,-5.9,640,1.9,1540,,,43.8
108,서울,2021-12-14,3.7,-.7,1,8.2,1349,7.58,1.2,64.9
108,서울,2021-12-15,7.2,5.4,2358,10,1226,4.25,2.1,84.8
108,서울,2021-12-16,6.4,3.3,2355,9.8,1322,.38,0,71.6
108,서울,2021-12-17,-5.6,-10.1,2333,3.2,1,,,50.5
108,서울,2021-12-18,-5.7,-11.2,801,-1.8,1402,4.33,2.8,64.1
108,서울,2021-12-19,-.8,-5.8,811,4.2,1544,1.17,.2,63.8
108,서울,2021-12-20,5.2,-.9,1,11.1,1336,.33,0,77.9
108,서울,2021-12-21,5.2,.8,2358,8.9,1508,,,70.9
108,서울,2021-12-22,2.2,-2.6,717,8.2,1512,,,47.4
108,서울,2021-12-23,2.7,-1.5,716,8.3,1451,,,53.5
108,서울,2021-12-24,-.3,-7.3,2400,3.2,1157,2.33,.2,65.3
108,서울,2021-12-25,-11.7,-14.4,2258,-7.3,1,,,42.4
108,서울,2021-12-26,-12.1,-15.5,817,-7.3,1526,,,43.5
108,서울,2021-12-27,-7.6,-12.9,123,-3.9,1634,2.08,0,60.9
108,서울,2021-12-28,-4.1,-8.5,712,-.9,1600,,,73.8
108,서울,2021-12-29,.4,-3.8,154,5.9,1518,1.58,.2,72.9
108,서울,2021-12-30,-3.9,-6.8,714,.2,1531,.5,0,48.5
108,서울,2021-12-31,-6.7,-8.8,745,-3.9,1510,,,35.9
108,서울,2022-01-01,-4.3,-10.2,710,2.3,1544,,,46.3
108,서울,2022-01-02,-1.3,-5.2,2356,3,1551,4.17,.3,57.9
108,서울,2022-01-03,-1.9,-8,714,2.5,1542,4,0,58.3
108,서울,2022-01-04,-2.5,-5.6,2400,1,1445,.92,0,51.8
108,서울,2022-01-05,-2.8,-7.8,634,1.9,1518,,,47.6
108,서울,2022-01-06,-2.2,-5.9,745,3.3,1604,,,47.1
108,서울,2022-01-07,-1.6,-5.9,634,4.5,1525,,,47.1
108,서울,2022-01-08,.3,-5,729,3.7,1623,.17,0,64.3
108,서울,2022-01-09,1.3,-1.2,2353,5.6,1522,,,71.5
108,서울,2022-01-10,.5,-3.4,735,4.4,1348,3.83,.9,68.3
108,서울,2022-01-11,-7.4,-10.3,2326,.3,1,1.5,.2,55.5
108,서울,2022-01-12,-7.7,-11.3,223,-3.4,1521,,,47.8
108,서울,2022-01-13,-6.4,-8.9,2352,-3.1,1456,,,45.8
108,서울,2022-01-14,-4.8,-10.1,750,1.3,1526,,,41.8
108,서울,2022-01-15,-1,-5.3,426,1.8,1545,.92,0,48.3
108,서울,2022-01-16,-2,-7.2,2352,2.4,208,.42,0,54.5
108,서울,2022-01-17,-5.8,-9.2,518,.1,1317,4.92,.5,59.9
108,서울,2022-01-18,-5.6,-9.9,744,-.7,1514,,,47.9
108,서울,2022-01-19,-5.3,-7.7,2357,-2.7,1558,7.08,1.7,72.3
108,서울,2022-01-20,-5,-9.8,605,.9,1603,,,63.5
108,서울,2022-01-21,-2.7,-8.7,755,4.6,1534,,,55.6
108,서울,2022-01-22,.3,-5,734,7.1,1512,,,52.4
108,서울,2022-01-23,2,-.6,549,6.7,1411,,,52.4
108,서울,2022-01-24,4.6,1.3,1,8.4,1329,,,56
108,서울,2022-01-25,2.8,1.9,822,4.5,1,11.75,.7,80
108,서울,2022-01-26,1.3,-1.9,639,6.8,1429,,,62.8
108,서울,2022-01-27,-1.1,-4.6,757,4,1541,,,50
108,서울,2022-01-28,-2.7,-5.9,811,2.1,1516,,,51.6
108,서울,2022-01-29,-3.6,-7.2,741,.9,1531,,,48.9
108,서울,2022-01-30,-2.8,-8,713,2.4,1629,,,45.4
108,서울,2022-01-31,-.7,-6.8,736,4.8,1507,2.75,1.2,59
108,서울,2022-02-01,-1.3,-2.7,2345,.9,1601,4.83,1.7,76.6
108,서울,2022-02-02,-3.4,-6,541,0,1529,,,60.5
108,서울,2022-02-03,-3.4,-6.9,746,.4,1458,,,52.4
108,서울,2022-02-04,-5.2,-8.2,2356,-.7,1404,.67,0,53.3
108,서울,2022-02-05,-6.6,-9.7,742,-2,1508,,,48.8
108,서울,2022-02-06,-3.9,-8.4,500,1.7,1537,,,50.3
108,서울,2022-02-07,-2.5,-7.3,510,1.9,1259,,,51.3
108,서울,2022-02-08,-.1,-4.1,629,5.6,1555,,,53.8
108,서울,2022-02-09,1,-4.3,757,7.2,1400,,,52.3
108,서울,2022-02-10,1.4,-3.2,707,6.7,1544,,,57.8
108,서울,2022-02-11,2.9,-2.6,740,8.8,1449,,,61.1
108,서울,2022-02-12,4.8,-.1,727,10.4,1605,,,50.4
108,서울,2022-02-13,4.8,1.6,330,9.5,1616,,,44.9
108,서울,2022-02-14,2.5,-1.3,2352,8.1,1248,2.42,1.7,68.3
108,서울,2022-02-15,-4.7,-7.7,2321,-1.3,1,12.17,0,58
108,서울,2022-02-16,-7.3,-9.6,2400,-4.1,1526,.33,0,50.4
108,서울,2022-02-17,-6.2,-10.7,752,-.5,1554,,,41.6
108,서울,2022-02-18,-1.2,-8,716,5.7,1531,,,40.4
108,서울,2022-02-19,-1.7,-6.2,2345,3.7,1403,2.17,.1,52.9
108,서울,2022-02-20,-4.8,-8.4,703,-.5,1548,,,41.1
108,서울,2022-02-21,-3,-8.1,623,3.6,1415,2.58,.1,56.3
108,서울,2022-02-22,-4.5,-8,2400,.5,1438,,,43.3
108,서울,2022-02-23,-5.6,-10,721,-.6,1623,,,38.5
108,서울,2022-02-24,-2.4,-8.5,508,3.7,1454,,,52.4
108,서울,2022-02-25,3,-3.6,716,8.4,1537,,,77.5
108,서울,2022-02-26,5.4,1,2355,9.3,1313,3.58,1.1,78.4
108,서울,2022-02-27,3.7,-1.6,730,9.1,1513,,,56.6
108,서울,2022-02-28,6.8,2.7,48,11.5,1626,,,62.3
108,서울,2022-03-01,5.8,.3,2355,9.7,1616,7.08,2.3,70.5
108,서울,2022-03-02,3.5,-2.3,611,8.8,1256,,,55.9
108,서울,2022-03-03,5.8,.9,720,12.4,1413,,,52.9
108,서울,2022-03-04,6.9,.6,652,14.6,1338,,,60.5
108,서울,2022-03-05,2.3,-.7,2341,6.7,1600,,,38.4
108,서울,2022-03-06,1.4,-3,629,6.8,1603,,,39.5
108,서울,2022-03-07,2.8,-2.7,703,8.7,1505,,,45.8
108,서울,2022-03-08,6,1.1,307,12.3,1455,,,56.1
108,서울,2022-03-09,7.1,1.7,706,14.8,1520,,,69.6
108,서울,2022-03-10,9.3,4.2,658,15.8,1534,,,51.4
108,서울,2022-03-11,11.2,5.1,641,18.4,1544,,,58.4
108,서울,2022-03-12,12.8,6.3,632,19.5,1408,3.33,2.6,72.1
108,서울,2022-03-13,11.7,10.7,111,12.6,1,12.42,42.1,95.5
108,서울,2022-03-14,8.2,4.9,2350,13.2,1205,5.58,8.7,90.3
108,서울,2022-03-15,7.2,2.3,702,13.3,1538,,,72.6
108,서울,2022-03-16,10.3,3.6,703,16.8,1513,,,62.6
108,서울,2022-03-17,10.7,7.8,2333,15.1,1413,5.5,1.2,62
108,서울,2022-03-18,7.5,5.5,2356,9.6,1246,4.17,0,60.8
108,서울,2022-03-19,3.4,.9,721,6.1,1557,11.58,14.6,84.6
108,서울,2022-03-20,5.4,2.2,2400,9.3,1556,3.58,0,66.1
108,서울,2022-03-21,5,-.3,640,10.9,1355,,,49.5
108,서울,2022-03-22,7.1,1.1,637,13.6,1617,,,48.9
108,서울,2022-03-23,6.2,4.9,616,8.2,1615,,,56.8
108,서울,2022-03-24,8.2,3.9,453,12.4,1459,,,70.6
108,서울,2022-03-25,12,6.3,559,17.2,1549,4.75,10.9,70
108,서울,2022-03-26,11.8,9.5,959,14.7,1735,11.08,19.8,80.9
108,서울,2022-03-27,8.1,5,2354,12.6,1432,,,49.1
108,서울,2022-03-28,8.2,1.5,611,15.1,1600,,,35.6
108,서울,2022-03-29,9.7,3.3,533,15.6,1545,,,52.9
108,서울,2022-03-30,10.8,5.9,629,15.7,1209,3.25,.4,76.5
108,서울,2022-03-31,10.9,7.6,2352,14.7,1421,,,63.5
108,서울,2022-04-01,9.2,4.5,620,14.9,1347,,,50.5
108,서울,2022-04-02,8.2,3.7,618,14.2,1444,,,55
108,서울,2022-04-03,9.6,3.5,629,17,1527,,,55
108,서울,2022-04-04,10.3,5.1,638,16.4,1328,,,50.3
108,서울,2022-04-05,10.3,4.9,615,15.8,1409,,,41.1
108,서울,2022-04-06,11.7,8,600,17,1431,,,52.3
108,서울,2022-04-07,10.9,7.4,2359,15.7,1310,,,43.5
108,서울,2022-04-08,12.9,5.1,612,20,1521,,,49
108,서울,2022-04-09,17.8,12.4,751,24.2,1418,1.08,.5,43.8
108,서울,2022-04-10,18.2,12.7,614,25.1,1501,,,46
108,서울,2022-04-11,19.6,13.4,556,26.6,1529,,,60.4
108,서울,2022-04-12,19.3,15.9,2358,26.4,1449,4,.5,77.9
108,서울,2022-04-13,13.1,12,2135,15.9,1,5.5,1.3,69.3
108,서울,2022-04-14,13.2,11.4,2335,15.3,1411,,,53.4
108,서울,2022-04-15,13.3,7.5,627,19.3,1602,,,46.8
108,서울,2022-04-16,13.2,7.1,557,20.2,1513,,,48.5
108,서울,2022-04-17,14,7.2,559,21.9,1418,,,53.8
108,서울,2022-04-18,15.2,11.4,309,21.6,1427,,,46.1
108,서울,2022-04-19,15.2,8.9,614,22.1,1357,,,51.9
108,서울,2022-04-20,15.7,9.7,610,22.1,1357,,,48.8
108,서울,2022-04-21,16.3,9.6,543,22.7,1343,,,48.4
108,서울,2022-04-22,15,13.2,2349,16.8,929,,,76.8
108,서울,2022-04-23,17.7,10.4,539,25.3,1555,,,57.3
108,서울,2022-04-24,18.5,15,608,24.5,1418,4.75,.3,72.5
108,서울,2022-04-25,20,17,1,23.6,1606,11.25,1.3,80.5
108,서울,2022-04-26,21.9,17,437,28.7,1451,4.83,1,57.9
108,서울,2022-04-27,17.7,12.6,528,23.9,1551,,,31.5
108,서울,2022-04-28,18.2,11.6,603,25.9,1432,.25,0,44
108,서울,2022-04-29,13.4,10.7,619,16.5,1236,9.75,15.5,70.6
108,서울,2022-04-30,13,10.5,143,17.8,1326,,,68
108,서울,2022-05-01,13.4,7.9,514,19.2,1512,,,54.8
108,서울,2022-05-02,14.2,9.1,538,19.4,1508,,,56.5
108,서울,2022-05-03,14.8,9.1,606,20.8,1535,,,45.9
108,서울,2022-05-04,17.8,10,620,25.2,1348,,,43.3
108,서울,2022-05-05,18.9,12.5,557,25.8,1501,,,48.1
108,서울,2022-05-06,19.6,13.7,530,25.6,1345,,,67.1
108,서울,2022-05-07,18.4,15.3,754,23.1,1319,3.92,.5,52.4
108,서울,2022-05-08,15.3,11.7,2344,18.2,1230,5.58,2,51.8
108,서울,2022-05-09,17.9,11,613,25.3,1620,,,56.4
108,서울,2022-05-10,19.9,13.6,547,26.3,1529,1.33,0,39
108,서울,2022-05-11,19.7,16.6,2353,25.2,1508,.92,0,50.4
108,서울,2022-05-12,20.9,14.1,607,28.1,1540,,,51.5
108,서울,2022-05-13,19.4,15,2358,25.2,1355,,,45.8
108,서울,2022-05-14,15.7,11.9,545,20,1342,,,45.5
108,서울,2022-05-15,16.2,10.5,516,22.4,1509,,,39.8
108,서울,2022-05-16,17.3,10.9,537,23.7,1352,,,56.3
108,서울,2022-05-17,20,13,551,27.4,1527,,,60.1
108,서울,2022-05-18,20,15.7,442,25.4,1404,2.33,1.5,59.4
108,서울,2022-05-19,19.9,16.1,614,24.2,1406,,,53.6
108,서울,2022-05-20,20.6,15.6,543,25.8,1322,,,52.8
108,서울,2022-05-21,20.1,16.1,2349,26,1420,,,70.8
108,서울,2022-05-22,20.3,15.7,315,25.8,1450,,,70.9
108,서울,2022-05-23,23,17.8,108,30.7,1513,,,63.5
108,서울,2022-05-24,22.9,16.7,528,30.2,1450,,,56.8
108,서울,2022-05-25,21,16.7,2400,26.7,1211,4.92,3.5,66.6
108,서울,2022-05-26,18.7,14.1,540,23.5,1513,.75,0,59.9
108,서울,2022-05-27,20,16,601,25.6,1552,.17,0,62.5
108,서울,2022-05-28,22.3,15,439,29.3,1426,,,54.1
108,서울,2022-05-29,23.1,19.3,446,29.7,1648,,,66.4
108,서울,2022-05-30,20.8,17.2,2335,24.7,1237,1.08,0,71
108,서울,2022-05-31,20.7,14.2,525,27.2,1428,,,42.4
108,서울,2022-06-01,22.1,16.2,547,28.6,1415,,,41.6
108,서울,2022-06-02,21.5,17.1,150,26.9,1324,,,67.4
108,서울,2022-06-03,24.5,18.7,23,32.6,1506,,,62.8
108,서울,2022-06-04,25.6,20.3,546,29.7,1724,,,57
108,서울,2022-06-05,22.7,20.2,2132,27,1142,1.58,0,59.8
108,서울,2022-06-06,19.7,16.7,2323,24.5,1517,8,4.3,69
108,서울,2022-06-07,20.6,15.1,550,25.1,1236,.67,0,54.5
108,서울,2022-06-08,21.2,16.2,541,25.8,1449,,,61.6
108,서울,2022-06-09,20.9,18.5,517,24.5,1620,4.33,2.6,76.1
108,서울,2022-06-10,20.9,17.2,534,26.6,1128,2.67,1.2,75.8
108,서울,2022-06-11,24.6,17.7,527,32.7,1629,,,59.6
108,서울,2022-06-12,24.6,18.9,525,31.5,1520,,,58.9
108,서울,2022-06-13,23.6,19.6,513,29.2,1234,3.83,18,68.5
108,서울,2022-06-14,21.5,17.7,2357,27.1,1245,1.67,0,56.4
108,서울,2022-06-15,17.5,14.9,603,20.1,1921,17.58,18.5,92.4
108,서울,2022-06-16,20.3,17.6,619,24.8,1737,4.33,.7,78.4
108,서울,2022-06-17,22.5,16.5,533,28.1,1413,,,76.4
108,서울,2022-06-18,23.3,22,538,25.1,1722,.25,0,79.6
108,서울,2022-06-19,23.4,22.3,303,25.1,1719,,,81.6
108,서울,2022-06-20,25.2,22,543,29,1611,,,76.6
108,서울,2022-06-21,26.5,21.2,553,32.6,1539,,,72.6
108,서울,2022-06-22,25.9,21.9,344,31,1542,,,71.1
108,서울,2022-06-23,24.3,23.3,2216,26.4,1130,13.5,103,89.1
108,서울,2022-06-24,22.6,20.6,617,24.9,1805,6.83,19.1,90.9
108,서울,2022-06-25,26,21.5,221,30.5,1512,,,80.4
108,서울,2022-06-26,26.5,24.8,234,28.1,1500,,,82.1
108,서울,2022-06-27,26.8,25.4,454,28.1,1107,14.25,6.1,84.4
108,서울,2022-06-28,26.9,25.7,2337,27.9,1001,14.08,6.3,81.9
108,서울,2022-06-29,25.1,24.4,2134,26.1,1733,20.75,37.8,95.5
108,서울,2022-06-30,22.3,21.2,1739,24.5,1,22.83,176.2,99.3
108,서울,2022-07-01,26.6,21.9,1,30.9,1536,,,83.3
108,서울,2022-07-02,28.8,24,521,33.8,1601,,,72.8
108,서울,2022-07-03,29.3,24.4,612,34.2,1522,,,68.6
108,서울,2022-07-04,29.3,26.4,524,32.6,1621,.83,0,71.8
108,서울,2022-07-05,29.2,26.7,459,33.1,1545,1.42,0,73.8
108,서울,2022-07-06,29.5,26.2,502,33.3,1645,2.5,16.1,76
108,서울,2022-07-07,28.2,26.4,439,31,1608,3.67,0,82.3
108,서울,2022-07-08,25.8,24,2357,27.9,1647,6.25,1.7,84.4
108,서울,2022-07-09,26.9,24,1,30.9,1416,6,.1,82.1
108,서울,2022-07-10,29.2,24.6,529,35.1,1547,.42,0,68
108,서울,2022-07-11,27,24.7,316,30.6,1226,2.5,9,75
108,서울,2022-07-12,26.8,23.2,508,29.4,1402,,,73.1
108,서울,2022-07-13,25,24,1253,27.1,1,19.98,114.5,93.9
108,서울,2022-07-14,25.7,23.3,405,29.9,1533,5.92,.9,84.6
108,서울,2022-07-15,26,23,440,30.3,1544,,,76.5
108,서울,2022-07-16,24.8,23.2,2354,28.2,1323,4.08,34,83.4
108,서울,2022-07-17,25.5,22.5,406,29.7,1518,1.5,0,78.9
108,서울,2022-07-18,26.8,23.1,530,30.1,1258,,,76
108,서울,2022-07-19,27.4,24.3,532,31.1,1549,,,74.1
108,서울,2022-07-20,27.1,24.3,2400,30.4,1435,3.83,1.1,76.1
108,서울,2022-07-21,23.2,20.8,622,25.2,1840,10.83,10.4,87.6
108,서울,2022-07-22,25.1,22.9,507,27.5,1718,1.75,5.2,81.5
108,서울,2022-07-23,24.8,22.3,2320,28,1344,8.58,9.9,83.6
108,서울,2022-07-24,25,22,118,28.4,1627,3.67,1.2,86.9
108,서울,2022-07-25,27.5,23.6,546,32,1616,,,75
108,서울,2022-07-26,28.9,24.4,530,33.1,1428,,,72.5
108,서울,2022-07-27,29.3,26.4,547,33.4,1509,,,66.3
108,서울,2022-07-28,29.7,25.1,545,34.4,1509,,,63.8
108,서울,2022-07-29,30.7,27.3,511,34.3,1419,,,68.1
108,서울,2022-07-30,30.9,27.3,532,36.1,1440,2.33,1,68.4
108,서울,2022-07-31,27.2,25.4,2327,29,1,15.75,47.2,85.8
108,서울,2022-08-01,28.6,25.4,4,32.4,1420,14.83,30,82.4
108,서울,2022-08-02,26.8,25.5,2257,28.5,1,18.58,33.5,90
108,서울,2022-08-03,27.1,25.2,457,30,1600,13.25,51.1,90.1
108,서울,2022-08-04,28.9,26,549,32.9,1532,.42,0,79.3
108,서울,2022-08-05,29.4,27,111,32.7,1430,.5,0,76.6
108,서울,2022-08-06,28.7,27.4,454,30.3,1718,1.67,13.6,85.3
108,서울,2022-08-07,28.9,27.2,354,31.7,1421,3.33,.9,82.1
108,서울,2022-08-08,26.8,,,28.4,1,20.92,129.6,91.6
108,서울,2022-08-09,25.1,22,2354,26.5,1538,21.5,123.1,96
108,서울,2022-08-10,24.7,21.4,455,28.8,1503,6.5,7.6,85.3
108,서울,2022-08-11,25,23.4,528,27.5,1502,10.67,38.8,87.9
108,서울,2022-08-12,27,23,614,32.4,1557,,,73.8
108,서울,2022-08-13,25.8,24.7,1305,27.5,1743,4.67,4,82.8
108,서울,2022-08-14,27.6,24.5,553,31.5,1414,1.5,3,83
108,서울,2022-08-15,28.1,26.6,2357,29.8,1233,4.42,.9,83
108,서울,2022-08-16,26.7,24.1,652,30,1531,.75,0,75.4
108,서울,2022-08-17,26,22.8,618,30.5,1338,.75,0,76.6
108,서울,2022-08-18,25.6,22.4,556,29.8,1408,,,75.8
108,서울,2022-08-19,26,23.3,355,27.5,1527,10.33,66.1,86.1
108,서울,2022-08-20,28.2,25.7,628,32,1437,1.83,0,80
108,서울,2022-08-21,28.1,24.7,634,32,1549,,,75.3
108,서울,2022-08-22,26.8,22.9,2302,30.2,1356,2,3.2,75.6
108,서울,2022-08-23,25.4,22.4,513,30.2,1533,6.17,2.2,75
108,서울,2022-08-24,24.8,22.4,500,27.9,1145,,,66.9
108,서울,2022-08-25,22.2,21.1,2322,24,1054,7.08,1.6,78
108,서울,2022-08-26,23.8,19.9,626,28.4,1512,,,75.3
108,서울,2022-08-27,21.5,17.6,638,25.5,1541,.58,17.6,63.1
108,서울,2022-08-28,22.6,16.1,538,28.4,1644,,,59.4
108,서울,2022-08-29,21,19.5,940,22.5,1,11.58,2.2,74
108,서울,2022-08-30,19.1,17.9,527,20.3,1,21.42,35.8,96.3
108,서울,2022-08-31,21.7,19.6,32,24.9,1703,4.17,0,83.3
108,서울,2022-09-01,24,18.3,614,30.4,1553,,,70.8
108,서울,2022-09-02,24.7,20.3,648,29.8,1540,,,61.8
108,서울,2022-09-03,24.2,20.5,630,29.2,1456,,,63
108,서울,2022-09-04,22.3,19.8,632,24,1905,13.67,33.8,88.6
108,서울,2022-09-05,19.2,17.7,2103,22.7,1,24,120,95.9
108,서울,2022-09-06,21,17,254,26.3,1601,8.92,25.3,78
108,서울,2022-09-07,22.8,17.9,701,28.1,1511,,,65.3
108,서울,2022-09-08,23.2,16.7,635,29.5,1555,,,65.5
108,서울,2022-09-09,24.3,18.9,620,30.8,1526,,,59.1
108,서울,2022-09-10,23.6,19,646,28.4,1636,,,52.3
108,서울,2022-09-11,23.3,20.6,638,26.4,1331,1.83,.1,68.6
108,서울,2022-09-12,23.8,20.3,558,27.5,1541,,,76.1
108,서울,2022-09-13,24.3,21.8,626,26.4,1341,4.83,0,73
108,서울,2022-09-14,24.6,22.7,2334,27.9,1410,1.17,0,56.9
108,서울,2022-09-15,25.2,22,504,28.3,1539,.42,.1,66.9
108,서울,2022-09-16,25.7,23.4,605,29.9,1326,5.5,14.6,78.6
108,서울,2022-09-17,25.6,23.3,537,29.4,1619,1.92,4.3,83.1
108,서울,2022-09-18,27.1,23,616,32.5,1551,,,75.3
108,서울,2022-09-19,24.6,19.5,2359,29.6,1306,,,63.1
108,서울,2022-09-20,19.9,16.1,631,24.6,1506,,,57
108,서울,2022-09-21,19.4,13,626,25.6,1449,,,56.9
108,서울,2022-09-22,19.8,14.2,635,24.7,1454,,,60.1
108,서울,2022-09-23,17.5,14.7,2354,22.2,1026,.67,3.3,68.9
