주차장명,월,휴일여부,평균기온,최저기온,최고기온,영동_아침주차,영동_낮주차,영동_저녁주차,영동_아침이용,영동_낮이용,영동_저녁이용,요일,총 주차 대수,년도,아침 이용시간 예측,낮 이용시간 예측,저녁 이용시간 예측,아침 혼잡도,낮 혼잡도,저녁 혼잡도
뚝섬2주차장,2,0,0.2,-1.1,1.6,70.09841907879739,160.34637299794875,132.55520792325382,9761.253133870663,22328.342871350724,18458.403994778608,3,356,2024,10417.466,23087.63,18733.582,여유,여유,여유
뚝섬4주차장,2,0,0.2,-1.1,1.6,71.83639641132956,164.32190290698878,135.8417006816816,8193.597579926649,18742.4148933966,15493.987526676749,3,136,2024,7300.387,18442.24,13536.656,보통,만차,혼잡
뚝섬3주차장,2,0,0.2,-1.1,1.6,27.80763732051467,63.60847854464082,52.583884134844496,2043.6682344653245,4674.781447485651,3864.5503180490227,3,112,2024,3037.2305,7433.5347,5341.878,여유,보통,보통
뚝섬1주차장,2,0,0.2,-1.1,1.6,23.17303110042889,53.00706545386735,43.819903445703744,1217.5496757350347,2785.0795640552806,2302.3707602096842,3,67,2024,1491.0023,3258.4717,2717.3494,여유,보통,보통
뚝섬3주차장,2,0,1.9,0.0,4.0,21.050278892259513,45.83021822096095,40.11950288677952,2135.1278207260984,4648.554750954105,4069.3174283197955,2,112,2024,2212.4055,5541.346,4568.6177,여유,여유,여유
뚝섬2주차장,2,0,1.9,0.0,4.0,62.56064194148155,136.20569527351012,119.23366278500829,9938.289147666112,21637.43115764752,18941.279694686364,2,356,2024,10414.731,23038.193,20440.867,여유,여유,여유
뚝섬4주차장,2,0,1.9,0.0,4.0,69.6429787650455,151.62520794598296,132.7318132889715,8799.606771699773,19158.31617575105,16771.077052549168,2,136,2024,8037.0435,18147.846,15658.859,보통,만차,만차
뚝섬1주차장,2,0,1.9,0.0,4.0,20.46008415696252,44.545258831588214,38.994657011449256,916.1789607593697,1994.6852921029454,1746.1357471376843,2,67,2024,1540.9362,2968.4622,2212.776,여유,보통,보통
뚝섬4주차장,2,0,4.3,2.8,6.8,86.38183993208305,181.04441614571272,154.5737439222042,10473.491047310335,21950.99193486146,18741.5170178282,1,136,2024,10121.158,21851.246,18405.8,보통,만차,만차
뚝섬3주차장,2,0,4.3,2.8,6.8,35.82185305240411,75.077660723933,64.10048622366287,2634.032029019063,5520.567646831827,4713.400324149107,1,112,2024,4446.5234,10442.174,8666.927,여유,혼잡,보통
뚝섬2주차장,2,0,4.3,2.8,6.8,88.83819556996218,186.19259859535384,158.96920583468392,14570.896947595895,30538.589276066985,26073.51377633711,1,356,2024,13193.097,28116.523,24723.043,여유,보통,여유
뚝섬1주차장,2,0,4.3,2.8,6.8,25.791734197730957,54.055915721231756,46.15235008103727,2186.97530292506,4583.598440997143,3913.426256077795,1,67,2024,2893.9136,5725.453,4659.322,여유,혼잡,혼잡
뚝섬1주차장,2,0,9.1,4.2,11.9,27.291997880233176,58.12135665076841,44.5866454689984,2063.4849781908606,4394.4216501569435,3371.0933716521945,0,67,2024,2450.7065,5088.221,3822.5884,여유,혼잡,보통
뚝섬4주차장,2,0,9.1,4.2,11.9,78.72691696221108,167.65775956952425,128.61532346826462,10674.530186294893,22732.60384819208,17438.86596551302,0,136,2024,10175.433,22212.553,17174.098,보통,만차,혼잡
뚝섬2주차장,2,0,9.1,4.2,11.9,80.40642452407158,171.23445844034077,131.3591170355876,13641.170355876238,29050.395316130605,22285.434327993145,0,356,2024,13473.132,28467.45,22305.742,여유,여유,여유
뚝섬3주차장,2,0,9.1,4.2,11.9,27.082059435000613,57.674269291916346,44.24367127308303,2054.2476866006277,4374.749806367453,3356.002507031918,0,112,2024,2397.4272,4588.1533,3442.6123,여유,보통,여유
뚝섬2주차장,2,1,6.2,1.2,9.4,91.0958358238693,257.77246463438934,171.1316995417414,9592.741880852758,27144.43195855748,18020.82616058976,6,356,2024,17661.82,48322.312,35473.086,여유,만차,혼잡
뚝섬3주차장,2,1,6.2,1.2,9.4,42.21941621837019,119.4676230324766,79.31296074915322,3343.217174736003,9460.24945208209,6280.533373181909,6,112,2024,4813.996,13144.626,7228.907,여유,만차,보통
뚝섬1주차장,2,1,6.2,1.2,9.4,29.956515242080094,84.76748356246264,56.27600119545726,2671.560569834628,7559.67324168161,5018.766188483762,6,67,2024,2673.4763,7666.1323,4628.864,여유,만차,혼잡
뚝섬4주차장,2,1,6.2,1.2,9.4,93.37323171946602,264.21677625024904,175.40999203028494,8132.055190276947,23011.14963140068,15276.795178322376,6,136,2024,8976.416,23345.53,17942.58,보통,만차,만차
뚝섬3주차장,2,1,4.4,-1.2,11.7,102.5205378522748,233.22158776938662,168.25787437833853,8248.631608030943,18764.620249278563,13537.748142690489,5,112,2024,8665.344,20190.057,14150.147,혼잡,만차,만차
뚝섬2주차장,2,1,4.4,-1.2,11.7,168.01977036900593,382.2242688442725,275.7559607867215,16076.400135077052,36571.82886146415,26384.771003458787,5,356,2024,16137.272,35719.137,26310.85,여유,만차,보통
뚝섬4주차장,2,1,4.4,-1.2,11.7,196.49769755019335,447.0080432246577,322.4942592251489,16996.440596794986,38664.80751519617,27894.75188800884,5,136,2024,16108.454,37537.754,26578.13,만차,만차,만차
뚝섬1주차장,2,1,4.4,-1.2,11.7,64.88899121999138,147.61445733816336,106.49655144184523,4575.792656720082,10409.364319191174,7509.843024088741,5,67,2024,4294.042,9312.296,7323.2417,혼잡,만차,만차
뚝섬4주차장,2,0,2.3,-1.5,8.1,117.60132701421797,257.6378199052133,219.76085308056872,12919.741080568716,28304.220796208534,24143.03812322275,4,136,2024,12012.469,26777.781,22405.918,혼잡,만차,만차
뚝섬1주차장,2,0,2.3,-1.5,8.1,37.751014218009466,82.70390521327015,70.54508056872038,2986.480758293838,6542.701611374408,5580.817630331753,4,67,2024,2800.3901,5414.953,5080.1035,보통,만차,만차
뚝섬2주차장,2,0,2.3,-1.5,8.1,91.31397156398101,200.04818957345972,170.63783886255922,11347.243336492887,24859.235090047394,21204.521573459715,4,356,2024,11462.337,24841.207,21522.781,여유,보통,여유
뚝섬3주차장,2,0,2.3,-1.5,8.1,40.715753554502356,89.19897630331754,76.0852701421801,2865.519393364928,6277.702710900474,5354.777895734597,4,112,2024,3780.906,8273.565,6766.5654,여유,혼잡,보통
뚝섬3주차장,2,0,4.5,0.6,11.6,25.289111681044535,53.65061785964093,47.060270459314516,2005.6674049895082,4255.004954534856,3732.327640475635,3,112,2024,2165.5337,4343.99,3922.464,여유,여유,여유
뚝섬4주차장,2,0,4.5,0.6,11.6,80.48360146110205,170.74522033107948,149.77117820781842,9301.174710499728,19732.356609932383,17308.468679567886,3,136,2024,9873.109,21461.957,18480.016,보통,만차,만차
뚝섬2주차장,2,0,4.5,0.6,11.6,79.68077251884667,169.04202611331309,148.2772013678402,10890.575308929821,23104.25536255537,20266.169328514803,3,356,2024,11119.099,24847.418,20501.707,여유,여유,여유
뚝섬1주차장,2,0,4.5,0.6,11.6,30.306792570140672,64.2955817206808,56.39762570917851,1936.2227014844177,4107.678654698064,3603.0986438175173,3,67,2024,1933.1559,4003.5037,3469.4895,여유,혼잡,혼잡
뚝섬2주차장,2,0,12.9,8.8,18.3,127.56601183340423,278.988882013999,240.44510615259674,14727.269325960015,32208.770544104565,27758.960129935414,2,356,2024,14526.543,31455.752,27062.58,여유,보통,보통
뚝섬1주차장,2,0,12.9,8.8,18.3,45.74237209482192,100.03928999574616,86.21833790943191,2231.3207974012917,4879.933814145945,4205.745388452762,2,67,2024,2649.486,5663.7144,4563.0796,보통,만차,만차
뚝섬4주차장,2,0,12.9,8.8,18.3,131.70648516957345,288.0441625739588,248.24935225646774,13822.477319308558,30229.976139835257,26053.54654085618,2,136,2024,13762.477,29945.422,26267.898,혼잡,만차,만차
뚝섬3주차장,2,0,12.9,8.8,18.3,64.47308480606365,141.00365443365945,121.52326076027687,5066.9535364863295,11081.507386209829,9550.539077303838,2,112,2024,5563.043,12039.441,12234.515,보통,만차,만차
뚝섬1주차장,2,0,8.2,2.0,13.7,36.219763040974165,74.29981898963304,59.480417969392796,3106.5903817673193,6372.739180516703,5101.670437715979,1,67,2024,2455.0476,6180.8213,4483.045,보통,만차,혼잡
뚝섬3주차장,2,0,8.2,2.0,13.7,53.2643574131973,109.26443969063683,87.47120289616588,3847.817179529373,7893.263123251605,6318.919697219023,1,112,2024,4165.1567,8411.193,6873.651,여유,보통,보통
뚝섬2주차장,2,0,8.2,2.0,13.7,110.78986341945038,227.27003455652462,181.940102024025,14000.642874773737,28720.37650156327,22991.980623662992,1,356,2024,14542.508,29449.072,23374.791,여유,보통,보통
뚝섬4주차장,2,0,8.2,2.0,13.7,109.29846141188087,224.21063024518676,179.49090834293239,10244.440389995063,21015.04821457956,16823.511395425376,1,136,2024,10429.747,21937.484,17412.51,보통,만차,만차
뚝섬4주차장,2,1,3.5,-2.9,10.5,138.88617638083608,389.1119926762283,282.00183094293556,10409.09025870545,29162.74288814295,21135.166853151593,0,136,2024,10713.157,29218.559,21142.611,만차,만차,만차
뚝섬3주차장,2,1,3.5,-2.9,10.5,89.33296036347603,250.28067677075916,181.38636286576474,9073.55392805072,25421.022751161294,18423.42332078798,0,112,2024,8546.783,25950.37,17019.984,보통,만차,만차
뚝섬1주차장,2,1,3.5,-2.9,10.5,39.436815515546044,110.48859051300309,80.07459397145084,3128.368256874511,8764.627538738006,6352.004204387481,0,67,2024,3044.4038,8910.934,6280.4927,보통,만차,만차
뚝섬2주차장,2,1,3.5,-2.9,10.5,132.88492184586167,372.2985115112061,269.8165666429322,13251.970264130465,37127.529108602044,26907.500627267484,0,356,2024,15565.26,46008.55,31435.53,여유,만차,혼잡
뚝섬3주차장,2,1,1.0,-3.1,5.5,77.75206611570246,265.9669421487603,158.28099173553719,8114.4038721148445,27756.988245365643,16518.607882519507,6,112,2024,7468.1523,25760.287,15946.123,보통,만차,만차
뚝섬2주차장,2,1,1.0,-3.1,5.5,86.11583418392543,294.57693194165483,175.30723387441967,8071.655724210594,27610.759408646405,16431.584867143,6,356,2024,10637.15,32747.635,18993.857,여유,혼잡,여유
뚝섬1주차장,2,1,1.0,-3.1,5.5,26.795034737084713,91.65793026242137,54.54703500049389,588.8712258404397,2014.355207270093,1198.773566889467,6,67,2024,311.2307,2796.4192,1029.6267,여유,만차,보통
뚝섬4주차장,2,1,1.0,-3.1,5.5,104.85687004049913,358.6845016627704,213.45862829673044,6854.8823548780065,23448.53570840604,13954.581936715946,6,136,2024,7395.0303,23377.686,13984.647,보통,만차,만차
뚝섬3주차장,2,1,1.7,-1.5,7.4,94.27451866071931,237.50753768844223,116.21794365083846,8162.321495116028,20563.48743718593,10062.19106769804,5,112,2024,7713.162,19015.654,9651.899,혼잡,만차,만차
뚝섬4주차장,2,1,1.7,-1.5,7.4,154.4586979843035,389.13065326633165,190.41064874936478,9562.129749872958,24090.05025125628,11787.819998870758,5,136,2024,9558.673,23463.76,11895.304,만차,만차,만차
뚝섬2주차장,2,1,1.7,-1.5,7.4,114.26576703743434,287.8718592964824,140.86237366608322,9432.923155101347,23764.53768844221,11628.53915645644,5,356,2024,10968.693,25752.244,13364.401,여유,혼잡,여유
뚝섬1주차장,2,1,1.7,-1.5,7.4,46.71639094348144,117.69346733668343,57.59014171983513,2466.0783129128786,6212.836683417086,3040.0850036700353,5,67,2024,943.3547,2224.3892,-227.82774,여유,만차,보통
뚝섬1주차장,2,1,1.1,-2.5,6.1,42.64581789155595,121.49204629682423,62.86213581161982,1904.4081760647696,5425.395917669195,2807.1959062660358,4,67,2024,800.0826,2877.8503,1695.7986,여유,만차,보통
뚝섬3주차장,2,1,1.1,-2.5,6.1,72.32881008039226,206.05479217743317,106.6163977421746,7350.297907520381,20939.98375049889,10834.71834198073,4,112,2024,6461.994,19157.0,9782.021,보통,만차,혼잡
뚝섬2주차장,2,1,1.1,-2.5,6.1,98.06659444666171,279.37818575745484,144.55521979588346,8577.633274417012,24436.492730486345,12643.873995096643,4,356,2024,8393.261,24785.988,12571.1045,여유,보통,여유
뚝섬4주차장,2,1,1.1,-2.5,6.1,113.4716916585894,323.2651804549861,167.26312788642454,7031.863276127486,20032.807457665775,10365.32926620674,4,136,2024,8024.7803,21574.025,11662.372,혼잡,만차,만차
뚝섬3주차장,2,0,0.6,-3.0,6.2,50.847678142514006,105.47718174539632,78.67514011208968,4652.237990392313,9650.488871096877,7198.273138510809,3,112,2024,3191.018,6516.3345,4411.3496,여유,보통,여유
뚝섬4주차장,2,0,0.6,-3.0,6.2,97.58426741393113,202.42642113690954,150.98931144915935,9191.529223378702,19066.683746997598,14221.7870296237,3,136,2024,9079.905,18830.764,14492.961,보통,만차,만차
뚝섬2주차장,2,0,0.6,-3.0,6.2,102.99359487590071,213.64739791833466,159.3590072057646,11575.311649319454,24011.54379503603,17910.144555644518,3,356,2024,11265.429,24112.031,18107.803,여유,보통,여유
뚝섬1주차장,2,0,0.6,-3.0,6.2,41.327261809447556,85.72826261008807,63.94447558046438,2891.610088070456,5998.285348278623,4474.104563650921,3,67,2024,2220.768,5187.681,4102.9443,보통,만차,혼잡
뚝섬1주차장,2,0,0.6,-0.9,2.7,27.649509525432716,60.47683975305836,51.87365072150891,2374.105385751619,5192.800647653675,4454.093966594704,2,67,2024,2203.457,3419.7712,4150.254,여유,보통,혼잡
뚝섬3주차장,2,0,0.6,-0.9,2.7,38.51181683899557,84.23559822747414,72.25258493353026,3515.83263265538,7690.0621520281775,6596.10521531644,2,112,2024,3389.6606,7509.0312,6226.5386,여유,보통,보통
뚝섬4주차장,2,0,0.6,-0.9,2.7,77.41862667121161,169.33515130856338,145.24622202022493,9124.140646896187,19956.92514108245,17117.93421202136,2,136,2024,8357.35,19750.006,16362.933,보통,만차,만차
뚝섬2주차장,2,0,0.6,-0.9,2.7,89.26841646782563,195.25379691701698,167.47778661515733,13187.828561148355,28845.292675074797,24741.878763776836,2,356,2024,11750.769,25404.781,23164.768,여유,보통,여유
뚝섬4주차장,2,0,1.2,0.0,2.9,71.30945738199624,154.53760747024995,130.15293514775377,7207.262882195524,15619.150714570402,13154.586403234069,1,136,2024,7530.807,16217.191,13502.164,보통,만차,혼잡
뚝섬1주차장,2,0,1.2,0.0,2.9,24.838125604964983,53.82770597278369,45.33416842225132,2164.1218470648523,4689.955930080282,3949.9222228548647,1,67,2024,2243.0793,3617.441,3583.079,여유,보통,보통
뚝섬2주차장,2,0,1.2,0.0,2.9,76.51745146045664,165.82406194841425,139.65848659112905,11444.366679952172,24801.54962136309,20888.08369868473,1,356,2024,12086.077,25787.176,21636.287,여유,여유,여유
뚝섬3주차장,2,0,1.2,0.0,2.9,38.05841826567215,82.47793657120081,69.46364516312701,3810.448898252007,8257.777828389228,6954.7732733587645,1,112,2024,3531.3083,7909.2417,6320.8906,여유,보통,보통
뚝섬1주차장,2,0,2.7,0.1,6.6,29.413578994358986,63.344020129053206,47.242400876587794,2344.682439836045,5049.423318858812,3765.8942413051413,0,67,2024,2064.2095,4503.973,3447.551,여유,혼잡,보통
뚝섬4주차장,2,0,2.7,0.1,6.6,62.81900085223812,135.2847287041922,100.89627044356965,6665.117000121746,14353.754961243456,10705.128038634795,0,136,2024,7380.9434,15178.522,11162.807,여유,만차,보통
뚝섬3주차장,2,0,2.7,0.1,6.6,28.152997037457887,60.62927640923664,45.21772655330546,2423.258715149547,5218.642344060711,3892.09894078974,0,112,2024,2832.8125,5539.5757,3929.7493,여유,보통,여유
뚝섬2주차장,2,0,2.7,0.1,6.6,72.27336552899637,155.64530660281645,116.08132786818716,11036.815226654759,23768.486181567307,17726.698591777928,0,356,2024,11698.274,24685.473,18474.154,여유,여유,여유
뚝섬3주차장,2,1,7.3,3.7,12.2,98.08361916640678,274.19966739424177,177.7167134393514,10967.175293628517,30659.51117347469,19871.313532896784,6,112,2024,7025.997,19583.812,9061.568,보통,만차,만차
뚝섬1주차장,2,1,7.3,3.7,12.2,50.11181270138238,140.09110279596715,90.79708450265043,3812.7777777777765,10658.888888888889,6908.333333333332,6,67,2024,2875.155,9445.413,4723.134,보통,만차,혼잡
뚝섬2주차장,2,1,7.3,3.7,12.2,160.32213387381762,448.1918199771334,290.4860461490489,16985.229497973178,47483.40567508575,30775.364826941062,6,356,2024,17286.328,50452.64,36507.457,보통,만차,혼잡
뚝섬4주차장,2,1,7.3,3.7,12.2,144.98542251325222,405.3169628936701,262.6976145930776,11090.2256522191,31003.507119842012,20094.26722793888,6,136,2024,11181.577,30684.633,20264.984,만차,만차,만차
뚝섬4주차장,2,1,4.7,-0.2,8.3,116.65709742216266,277.2490374958152,187.09386508202212,11177.797957817203,26565.325159022428,17926.876883160363,5,136,2024,11260.06,27278.719,18852.838,혼잡,만차,만차
뚝섬3주차장,2,1,4.7,-0.2,8.3,82.12177770338128,195.17186976899896,131.70635252761969,9789.156846334112,23265.059507867423,15699.783645798461,5,112,2024,8786.819,20945.59,14880.858,보통,만차,만차
뚝섬2주차장,2,1,4.7,-0.2,8.3,112.84214931369263,268.1823736190157,180.97547706729162,12305.416303983926,29245.2401238701,19735.34357214597,5,356,2024,14246.663,32973.95,20609.793,여유,혼잡,보통
뚝섬1주차장,2,1,4.7,-0.2,8.3,50.19668563776362,119.29820890525609,80.50510545698025,3468.3901908269154,8243.029042517575,5562.580766655507,5,67,2024,2799.268,8440.874,4043.079,보통,만차,혼잡
뚝섬1주차장,2,0,3.1,0.7,7.9,36.92302758178318,80.7254650416934,69.35150737652341,2646.413575821604,5785.900577293137,4970.685846885258,4,67,2024,2764.537,5796.4434,5132.325,보통,만차,만차
뚝섬2주차장,2,0,3.1,0.7,7.9,89.6420027921367,195.9858883899936,168.37210881786967,11494.908538655996,25131.5208466966,21590.570614647397,4,356,2024,11983.477,26288.451,21678.314,여유,보통,여유
뚝섬4주차장,2,0,3.1,0.7,7.9,86.08791457570837,188.21552277100707,161.69656265328453,8209.351431913365,17948.24951892239,15419.399049164245,4,136,2024,11460.982,25992.021,22532.613,혼잡,만차,만차
뚝섬3주차장,2,0,3.1,0.7,7.9,42.25415990642567,92.38101347017319,79.36482662340113,4028.558993321509,8807.709429121232,7566.731577557258,4,112,2024,4291.6494,8787.274,7238.3076,여유,혼잡,보통
뚝섬4주차장,2,0,2.4,-1.3,8.2,82.84395782331282,182.65605181486976,150.49999036181737,9021.029916918864,19889.75118067737,16388.21890240376,3,136,2024,9804.609,21570.506,18059.832,보통,만차,만차
뚝섬1주차장,2,0,2.4,-1.3,8.2,32.26134896004009,71.13048171636756,58.60816932359234,2494.2802205216176,5499.440021589528,4531.279757888852,3,67,2024,2403.928,5306.0356,4119.716,여유,만차,혼잡
뚝섬2주차장,2,0,2.4,-1.3,8.2,87.62341692850394,193.19390095803533,159.1826821134607,12490.91722728762,27540.229658615568,22691.853114096804,3,356,2024,12236.511,26824.303,21830.69,여유,보통,여유
뚝섬3주차장,2,0,2.4,-1.3,8.2,41.02369065289048,90.44987181217108,74.52643753493841,4377.98454035507,9652.669815139656,7953.345644505272,3,112,2024,3772.4639,8341.42,7675.744,여유,혼잡,보통
뚝섬2주차장,1,0,4.7,0.7,10.6,93.4664588407209,195.78016561130056,171.75337554797855,11294.843721383342,23658.82265952265,20755.333619094006,2,356,2024,11731.634,24270.086,20912.451,여유,보통,여유
뚝섬1주차장,1,0,4.7,0.7,10.6,37.3054846566001,78.1421919142718,68.5523234291281,2862.5877057963958,5996.139171943498,5260.273122260107,2,67,2024,2390.065,5661.792,4566.416,보통,만차,혼잡
뚝섬3주차장,1,0,4.7,0.7,10.6,47.64559181685338,99.80116902094497,87.55323916220165,5255.4101509985385,11008.28128592304,9657.30856307842,2,112,2024,4989.276,10770.763,9593.892,여유,혼잡,혼잡
뚝섬4주차장,1,0,4.7,0.7,10.6,86.37030686799805,180.91616171456405,158.71353141743788,8407.318110082806,17610.447131027766,15449.234758889428,2,136,2024,8637.601,17505.268,15849.317,보통,만차,만차
뚝섬2주차장,1,0,1.4,-4.0,8.1,85.44918532634586,186.9357789423535,166.6150357313006,10526.210690805143,23028.01819914245,20524.771110052403,1,356,2024,11150.268,24184.885,21363.658,여유,보통,여유
뚝섬4주차장,1,0,1.4,-4.0,8.1,80.583058599333,176.29023344449737,157.12670795616958,8730.025993330155,19098.534444973797,17022.439561696043,1,136,2024,8275.413,17516.623,14325.888,보통,만차,만차
뚝섬1주차장,1,0,1.4,-4.0,8.1,29.5860505002382,64.72491662696522,57.68903287279656,2371.5555216769885,5188.213053835159,4624.231424487851,1,67,2024,2268.4807,5073.27,4739.0796,여유,혼잡,혼잡
뚝섬3주차장,1,0,1.4,-4.0,8.1,43.79514054311576,95.8099094807051,85.39494997617912,4878.000076226774,10671.52062887089,9511.479294902332,1,112,2024,4734.974,10152.075,9213.521,여유,혼잡,보통
뚝섬3주차장,1,0,-0.4,-4.8,4.6,42.74291497975707,90.1183590845245,72.13872593571841,4672.113360323885,9850.596050565975,7885.290589110138,0,112,2024,7743.7856,10003.278,7921.063,여유,보통,여유
뚝섬4주차장,1,0,-0.4,-4.8,4.6,85.69433198380563,180.6763199206808,144.6293480955135,8912.419028340077,18790.776873502437,15041.804098157481,0,136,2024,8485.551,17727.475,14017.783,보통,만차,만차
