"지구별","주차장명","주차대수","이용시간","날짜"
"PLT-009","반포2,3주차장","2127","241934","2024/11/07"
"PLT-005","뚝섬1주차장","174","14273","2024/11/07"
"PLT-006","광나루1,2주차장","497","50328","2024/11/06"
"PLT-001","강서1주차장","148","10309","2024/11/06"
"PLT-011","잠실1주차장","2006","70052","2024/11/06"
"PLT-005","뚝섬3주차장","277","27481","2024/11/06"
"PLT-008","여의도3주차장","1179","362766","2024/11/06"
"PLT-009","반포2,3주차장","1923","172642","2024/11/06"
"PLT-005","뚝섬4주차장","519","57699","2024/11/06"
"PLT-006","광나루4주차장","403","20457","2024/11/06"
"PLT-005","뚝섬1주차장","171","12904","2024/11/06"
"PLT-007","양화2주차장","37","3497","2024/11/06"
"PLT-006","광나루3주차장","503","68730","2024/11/06"
"PLT-007","양화1주차장","249","29218","2024/11/06"
"PLT-009","반포1주차장","522","19107","2024/11/06"
"PLT-002","난지1,2,3주차장","1828","87719","2024/11/06"
"PLT-003","망원1주차장","193","21082","2024/11/06"
"PLT-008","여의도1주차장","1409","301295","2024/11/06"
"PLT-008","여의도4주차장","81","13567","2024/11/06"
"PLT-004","이촌2주차장","200","21058","2024/11/06"
"PLT-007","양화3주차장","525","45953","2024/11/06"
"PLT-010","잠원2-6주차장","1454","182994","2024/11/06"
"PLT-011","잠실4주차장","1961","114272","2024/11/06"
"PLT-008","여의도2주차장","1134","164114","2024/11/06"
"PLT-010","잠원1주차장","339","36090","2024/11/06"
"PLT-004","이촌1주차장","144","11612","2024/11/06"
"PLT-008","여의도5주차장","364","115020","2024/11/06"
"PLT-005","뚝섬2주차장","416","57779","2024/11/06"
"PLT-004","이촌3주차장","796","82484","2024/11/06"
"PLT-003","망원2,3주차장","830","73561","2024/11/06"
"PLT-010","잠원2-6주차장","1472","177570","2024/11/05"
"PLT-008","여의도4주차장","188","68568","2024/11/05"
"PLT-008","여의도5주차장","359","108942","2024/11/05"
"PLT-003","망원1주차장","245","28303","2024/11/05"
"PLT-007","양화1주차장","218","24854","2024/11/05"
"PLT-011","잠실4주차장","1916","95076","2024/11/05"
"PLT-007","양화3주차장","571","51618","2024/11/05"
"PLT-008","여의도2주차장","1385","182126","2024/11/05"
"PLT-010","잠원1주차장","369","34857","2024/11/05"
"PLT-005","뚝섬2주차장","468","69085","2024/11/05"
"PLT-006","광나루3주차장","505","57854","2024/11/05"
"PLT-008","여의도1주차장","1529","315541","2024/11/05"
"PLT-007","양화2주차장","58","4260","2024/11/05"
"PLT-009","반포2,3주차장","1753","136207","2024/11/05"
"PLT-006","광나루1,2주차장","510","58045","2024/11/05"
"PLT-009","반포1주차장","503","23338","2024/11/05"
"PLT-005","뚝섬4주차장","530","60704","2024/11/05"
"PLT-002","난지1,2,3주차장","1749","88501","2024/11/05"
"PLT-005","뚝섬1주차장","170","12494","2024/11/05"
"PLT-006","광나루4주차장","422","19765","2024/11/05"
"PLT-008","여의도3주차장","1131","368233","2024/11/05"
"PLT-004","이촌3주차장","670","73974","2024/11/05"
"PLT-005","뚝섬3주차장","256","30477","2024/11/05"
"PLT-001","강서1주차장","160","12655","2024/11/05"
"PLT-011","잠실1주차장","1991","68542","2024/11/05"
"PLT-004","이촌2주차장","205","21567","2024/11/05"
"PLT-004","이촌1주차장","171","12155","2024/11/05"
"PLT-003","망원2,3주차장","811","69337","2024/11/05"
"PLT-005","뚝섬4주차장","504","51025","2024/11/04"
"PLT-008","여의도4주차장","174","66421","2024/11/04"
"PLT-007","양화3주차장","585","45304","2024/11/04"
"PLT-004","이촌1주차장","163","12113","2024/11/04"
"PLT-007","양화1주차장","216","27093","2024/11/04"
"PLT-004","이촌3주차장","805","79034","2024/11/04"
"PLT-008","여의도1주차장","1568","305118","2024/11/04"
"PLT-002","난지1,2,3주차장","1846","93939","2024/11/04"
"PLT-003","망원2,3주차장","907","70367","2024/11/04"
"PLT-008","여의도5주차장","366","104436","2024/11/04"
"PLT-008","여의도2주차장","1273","172736","2024/11/04"
"PLT-003","망원1주차장","278","30405","2024/11/04"
"PLT-009","반포1주차장","507","21212","2024/11/04"
"PLT-006","광나루4주차장","382","11784","2024/11/04"
"PLT-001","강서1주차장","192","12158","2024/11/04"
"PLT-005","뚝섬2주차장","503","66991","2024/11/04"
"PLT-004","이촌2주차장","198","21994","2024/11/04"
"PLT-010","잠원1주차장","357","34092","2024/11/04"
"PLT-010","잠원2-6주차장","1527","179984","2024/11/04"
"PLT-006","광나루3주차장","658","57180","2024/11/04"
"PLT-006","광나루1,2주차장","536","47329","2024/11/04"
"PLT-005","뚝섬1주차장","186","16161","2024/11/04"
"PLT-009","반포2,3주차장","1778","121049","2024/11/04"
"PLT-008","여의도3주차장","1206","400234","2024/11/04"
"PLT-011","잠실1주차장","1938","67073","2024/11/04"
"PLT-005","뚝섬3주차장","260","22332","2024/11/04"
"PLT-011","잠실4주차장","2057","133822","2024/11/04"
"PLT-007","양화2주차장","49","2736","2024/11/04"
"PLT-007","양화1주차장","366","41820","2024/11/03"
"PLT-011","잠실4주차장","2007","186774","2024/11/03"
"PLT-008","여의도2주차장","2510","195159","2024/11/03"
"PLT-006","광나루4주차장","138","8738","2024/11/03"
"PLT-010","잠원2-6주차장","2668","238254","2024/11/03"
"PLT-007","양화2주차장","113","12080","2024/11/03"
"PLT-008","여의도4주차장","56","4586","2024/11/03"
"PLT-004","이촌1주차장","418","12971","2024/11/03"
"PLT-003","망원1주차장","708","79158","2024/11/03"
"PLT-009","반포2,3주차장","4149","394250","2024/11/03"
"PLT-008","여의도5주차장","313","23683","2024/11/03"
"PLT-008","여의도1주차장","3634","444024","2024/11/03"
"PLT-005","뚝섬3주차장","809","103821","2024/11/03"
"PLT-004","이촌2주차장","534","59839","2024/11/03"
"PLT-003","망원2,3주차장","1671","148686","2024/11/03"
"PLT-002","난지1,2,3주차장","2554","234502","2024/11/03"
"PLT-006","광나루3주차장","819","71888","2024/11/03"
"PLT-005","뚝섬1주차장","403","37493","2024/11/03"
"PLT-004","이촌3주차장","1677","151763","2024/11/03"
"PLT-008","여의도3주차장","3009","458588","2024/11/03"
"PLT-005","뚝섬2주차장","1506","184479","2024/11/03"
"PLT-011","잠실1주차장","1478","77377","2024/11/03"
"PLT-001","강서1주차장","301","30311","2024/11/03"
"PLT-006","광나루1,2주차장","1140","103559","2024/11/03"
"PLT-009","반포1주차장","1326","110401","2024/11/03"
"PLT-010","잠원1주차장","693","51315","2024/11/03"
"PLT-007","양화3주차장","1476","173281","2024/11/03"
"PLT-005","뚝섬4주차장","1083","106348","2024/11/03"
"PLT-003","망원1주차장","551","45264","2024/11/02"
"PLT-005","뚝섬1주차장","369","39168","2024/11/02"
"PLT-009","반포1주차장","1511","89294","2024/11/02"
"PLT-006","광나루1,2주차장","1278","113706","2024/11/02"
"PLT-005","뚝섬3주차장","553","87230","2024/11/02"
"PLT-010","잠원2-6주차장","2941","287558","2024/11/02"
"PLT-004","이촌2주차장","374","37674","2024/11/02"
"PLT-007","양화3주차장","1525","153209","2024/11/02"
"PLT-003","망원2,3주차장","1652","142344","2024/11/02"
"PLT-006","광나루4주차장","152","10459","2024/11/02"
"PLT-010","잠원1주차장","686","52874","2024/11/02"
"PLT-002","난지1,2,3주차장","2508","208239","2024/11/02"
"PLT-008","여의도3주차장","2177","263020","2024/11/02"
"PLT-007","양화2주차장","90","10066","2024/11/02"
"PLT-004","이촌3주차장","1534","130580","2024/11/02"
"PLT-005","뚝섬4주차장","841","96419","2024/11/02"
"PLT-004","이촌1주차장","301","12556","2024/11/02"
"PLT-011","잠실4주차장","2337","206390","2024/11/02"
"PLT-001","강서1주차장","366","30099","2024/11/02"
"PLT-011","잠실1주차장","1717","81806","2024/11/02"
"PLT-007","양화1주차장","437","40864","2024/11/02"
"PLT-005","뚝섬2주차장","1190","174936","2024/11/02"
"PLT-006","광나루3주차장","786","82428","2024/11/02"
"PLT-009","반포2,3주차장","4693","448225","2024/11/02"
"PLT-008","여의도1주차장","3779","438600","2024/11/02"
"PLT-008","여의도5주차장","299","28473","2024/11/02"
"PLT-008","여의도4주차장","76","4937","2024/11/02"
"PLT-008","여의도2주차장","2317","154082","2024/11/02"
"PLT-009","반포1주차장","768","30909","2024/11/01"
"PLT-003","망원2,3주차장","920","73118","2024/11/01"
"PLT-004","이촌3주차장","928","82530","2024/11/01"
"PLT-006","광나루1,2주차장","645","58672","2024/11/01"
"PLT-011","잠실4주차장","1849","121806","2024/11/01"
"PLT-005","뚝섬3주차장","337","32175","2024/11/01"
"PLT-008","여의도3주차장","1383","365102","2024/11/01"
"PLT-008","여의도5주차장","326","94917","2024/11/01"
"PLT-005","뚝섬4주차장","720","70295","2024/11/01"
"PLT-002","난지1,2,3주차장","1882","93634","2024/11/01"
"PLT-003","망원1주차장","322","33552","2024/11/01"
"PLT-007","양화3주차장","722","65548","2024/11/01"
"PLT-005","뚝섬2주차장","678","78023","2024/11/01"
"PLT-006","광나루3주차장","508","52061","2024/11/01"
"PLT-010","잠원1주차장","450","40882","2024/11/01"
"PLT-009","반포2,3주차장","2727","220628","2024/11/01"
"PLT-011","잠실1주차장","1917","54067","2024/11/01"
"PLT-008","여의도4주차장","211","66451","2024/11/01"
"PLT-004","이촌1주차장","151","10320","2024/11/01"
"PLT-001","강서1주차장","213","9711","2024/11/01"
"PLT-007","양화1주차장","282","35878","2024/11/01"
"PLT-010","잠원2-6주차장","1720","184626","2024/11/01"
"PLT-004","이촌2주차장","209","22043","2024/11/01"
"PLT-005","뚝섬1주차장","290","28822","2024/11/01"
"PLT-008","여의도1주차장","2459","382019","2024/11/01"
"PLT-008","여의도2주차장","2019","213271","2024/11/01"
"PLT-007","양화2주차장","55","5870","2024/11/01"
"PLT-006","광나루4주차장","289","16887","2024/11/01"
"PLT-010","잠원2-6주차장","1697","175374","2024/10/31"
"PLT-007","양화1주차장","291","31722","2024/10/31"
"PLT-008","여의도2주차장","1842","184995","2024/10/31"
"PLT-009","반포1주차장","736","33439","2024/10/31"
"PLT-003","망원1주차장","306","33187","2024/10/31"
"PLT-008","여의도5주차장","373","107228","2024/10/31"
"PLT-006","광나루1,2주차장","785","70990","2024/10/31"
"PLT-004","이촌1주차장","155","8962","2024/10/31"
"PLT-006","광나루3주차장","488","59141","2024/10/31"
"PLT-001","강서1주차장","173","10670","2024/10/31"
"PLT-007","양화2주차장","67","8106","2024/10/31"
"PLT-005","뚝섬2주차장","566","65326","2024/10/31"
"PLT-008","여의도3주차장","1126","347102","2024/10/31"
"PLT-005","뚝섬3주차장","335","29321","2024/10/31"
"PLT-009","반포2,3주차장","2737","225614","2024/10/31"
"PLT-008","여의도4주차장","353","79224","2024/10/31"
"PLT-004","이촌2주차장","227","20454","2024/10/31"
"PLT-003","망원2,3주차장","977","70023","2024/10/31"
"PLT-004","이촌3주차장","671","76526","2024/10/31"
"PLT-010","잠원1주차장","434","36780","2024/10/31"
"PLT-007","양화3주차장","763","75562","2024/10/31"
"PLT-006","광나루4주차장","391","15570","2024/10/31"
"PLT-008","여의도1주차장","2052","357878","2024/10/31"
"PLT-005","뚝섬4주차장","669","73696","2024/10/31"
"PLT-002","난지1,2,3주차장","2162","115389","2024/10/31"
"PLT-011","잠실1주차장","2066","72663","2024/10/31"
"PLT-005","뚝섬1주차장","192","16244","2024/10/31"
"PLT-011","잠실4주차장","2082","114609","2024/10/31"
"PLT-004","이촌1주차장","153","11716","2024/10/30"
"PLT-008","여의도5주차장","342","100268","2024/10/30"
"PLT-007","양화2주차장","65","8624","2024/10/30"
"PLT-011","잠실1주차장","2104","78836","2024/10/30"
"PLT-008","여의도3주차장","1340","370839","2024/10/30"
"PLT-001","강서1주차장","198","14333","2024/10/30"
"PLT-002","난지1,2,3주차장","2102","122836","2024/10/30"
"PLT-004","이촌2주차장","205","17929","2024/10/30"
"PLT-005","뚝섬3주차장","320","28318","2024/10/30"
"PLT-009","반포1주차장","736","30929","2024/10/30"
"PLT-004","이촌3주차장","765","80105","2024/10/30"
"PLT-005","뚝섬2주차장","620","76899","2024/10/30"
"PLT-006","광나루4주차장","591","19039","2024/10/30"
"PLT-003","망원2,3주차장","902","74635","2024/10/30"
"PLT-005","뚝섬4주차장","664","79156","2024/10/30"
"PLT-008","여의도4주차장","195","58366","2024/10/30"
"PLT-006","광나루3주차장","515","53242","2024/10/30"
"PLT-008","여의도1주차장","1864","329670","2024/10/30"
"PLT-011","잠실4주차장","1984","107420","2024/10/30"
"PLT-007","양화1주차장","291","33509","2024/10/30"
"PLT-008","여의도2주차장","1362","173350","2024/10/30"
"PLT-010","잠원2-6주차장","1591","177253","2024/10/30"
"PLT-010","잠원1주차장","444","40469","2024/10/30"
"PLT-006","광나루1,2주차장","746","72313","2024/10/30"
"PLT-005","뚝섬1주차장","267","24048","2024/10/30"
"PLT-009","반포2,3주차장","2487","202329","2024/10/30"
"PLT-003","망원1주차장","302","30821","2024/10/30"
"PLT-007","양화3주차장","695","69426","2024/10/30"
"PLT-007","양화1주차장","237","27514","2024/10/29"
"PLT-007","양화3주차장","596","56223","2024/10/29"
"PLT-009","반포1주차장","679","25803","2024/10/29"
"PLT-006","광나루4주차장","369","18271","2024/10/29"
"PLT-011","잠실4주차장","1930","112235","2024/10/29"
"PLT-005","뚝섬1주차장","214","14039","2024/10/29"
"PLT-011","잠실1주차장","1997","78998","2024/10/29"
"PLT-001","강서1주차장","169","10432","2024/10/29"
"PLT-002","난지1,2,3주차장","1907","103966","2024/10/29"
"PLT-008","여의도4주차장","233","73922","2024/10/29"
"PLT-006","광나루3주차장","510","50824","2024/10/29"
"PLT-010","잠원1주차장","406","40570","2024/10/29"
"PLT-010","잠원2-6주차장","1494","165720","2024/10/29"
"PLT-004","이촌3주차장","684","77236","2024/10/29"
"PLT-004","이촌2주차장","199","15610","2024/10/29"
"PLT-008","여의도3주차장","1081","346704","2024/10/29"
"PLT-005","뚝섬4주차장","588","60834","2024/10/29"
"PLT-003","망원1주차장","297","31531","2024/10/29"
"PLT-007","양화2주차장","62","5611","2024/10/29"
"PLT-003","망원2,3주차장","816","85962","2024/10/29"
"PLT-008","여의도2주차장","1337","167500","2024/10/29"
"PLT-004","이촌1주차장","181","10575","2024/10/29"
"PLT-005","뚝섬3주차장","288","26391","2024/10/29"
"PLT-008","여의도5주차장","321","100279","2024/10/29"
"PLT-008","여의도1주차장","1713","319767","2024/10/29"
"PLT-009","반포2,3주차장","2292","188520","2024/10/29"
"PLT-005","뚝섬2주차장","517","61579","2024/10/29"
"PLT-006","광나루1,2주차장","642","66254","2024/10/29"
"PLT-004","이촌2주차장","184","17050","2024/10/28"
"PLT-002","난지1,2,3주차장","1957","100866","2024/10/28"
"PLT-004","이촌3,4주차장","806","79049","2024/10/28"
"PLT-005","뚝섬3주차장","300","24897","2024/10/28"
"PLT-006","광나루1,2주차장","697","66838","2024/10/28"
"PLT-010","잠원2-6주차장","1615","186383","2024/10/28"
"PLT-009","반포1주차장","658","23536","2024/10/28"
"PLT-007","양화2주차장","45","2561","2024/10/28"
"PLT-008","여의도2주차장","1528","173650","2024/10/28"
"PLT-008","여의도4주차장","236","63997","2024/10/28"
"PLT-005","뚝섬4주차장","617","62217","2024/10/28"
"PLT-010","잠원1주차장","427","42840","2024/10/28"
"PLT-006","광나루4주차장","315","12671","2024/10/28"
"PLT-006","광나루3주차장","550","53473","2024/10/28"
"PLT-007","양화1주차장","260","34044","2024/10/28"
"PLT-001","강서1주차장","205","16374","2024/10/28"
"PLT-004","이촌1주차장","187","12662","2024/10/28"
"PLT-007","양화3주차장","642","59147","2024/10/28"
"PLT-003","망원1주차장","298","27183","2024/10/28"
"PLT-005","뚝섬1주차장","233","18698","2024/10/28"
"PLT-003","망원2,3주차장","800","63592","2024/10/28"
"PLT-009","반포2,3주차장","1995","143608","2024/10/28"
"PLT-011","잠실4주차장","1988","120556","2024/10/28"
"PLT-008","여의도5주차장","354","103542","2024/10/28"
"PLT-008","여의도1주차장","1776","334515","2024/10/28"
"PLT-005","뚝섬2주차장","604","120591","2024/10/28"
