"지구별","주차장명","주차대수","이용시간","날짜"
"PLT-005","뚝섬3주차장","144","14118","2024/01/23"
"PLT-006","광나루1,2주차장","272","22152","2024/01/23"
"PLT-007","양화2주차장","14","2463","2024/01/23"
"PLT-007","양화1주차장","152","20256","2024/01/23"
"PLT-011","잠실1주차장","2078","52008","2024/01/23"
"PLT-003","망원2,3주차장","357","32677","2024/01/23"
"PLT-005","뚝섬4주차장","291","35869","2024/01/23"
"PLT-002","난지1,2,3주차장","914","37660","2024/01/23"
"PLT-001","강서1주차장","85","3972","2024/01/23"
"PLT-008","여의도5주차장","445","125105","2024/01/23"
"PLT-009","반포2,3주차장","1789","146047","2024/01/23"
"PLT-011","잠실4주차장","1690","52424","2024/01/23"
"PLT-006","광나루3주차장","249","18691","2024/01/23"
"PLT-010","잠원1주차장","225","28940","2024/01/23"
"PLT-007","양화3주차장","300","24138","2024/01/23"
"PLT-005","뚝섬2주차장","367","61001","2024/01/23"
"PLT-010","잠원2-6주차장","846","109303","2024/01/23"
"PLT-009","반포1주차장","364","9728","2024/01/23"
"PLT-005","뚝섬1주차장","109","9083","2024/01/23"
"PLT-008","여의도1주차장","877","204512","2024/01/23"
"PLT-008","여의도2주차장","473","158449","2024/01/23"
"PLT-004","이촌3,4주차장","472","68269","2024/01/23"
"PLT-003","망원1주차장","164","17292","2024/01/22"
"PLT-008","여의도5주차장","385","115637","2024/01/22"
"PLT-005","뚝섬4주차장","324","36550","2024/01/22"
"PLT-010","잠원2-6주차장","1018","122447","2024/01/22"
"PLT-004","이촌2주차장","169","13632","2024/01/22"
"PLT-009","반포1주차장","260","6152","2024/01/22"
"PLT-005","뚝섬3주차장","180","17084","2024/01/22"
"PLT-003","망원2,3주차장","359","32285","2024/01/22"
"PLT-001","강서1주차장","78","3296","2024/01/22"
"PLT-007","양화1주차장","143","24192","2024/01/22"
"PLT-005","뚝섬2주차장","364","50962","2024/01/22"
"PLT-002","난지1,2,3주차장","994","44734","2024/01/22"
"PLT-004","이촌3,4주차장","586","77768","2024/01/22"
"PLT-008","여의도1주차장","822","197501","2024/01/22"
"PLT-008","여의도3주차장","968","369273","2024/01/22"
"PLT-005","뚝섬1주차장","110","8751","2024/01/22"
"PLT-004","이촌1주차장","50","14706","2024/01/22"
"PLT-006","광나루1,2주차장","262","20620","2024/01/22"
"PLT-006","광나루3주차장","264","20294","2024/01/22"
"PLT-006","광나루4주차장","229","11186","2024/01/22"
"PLT-010","잠원1주차장","214","32264","2024/01/22"
"PLT-009","반포2,3주차장","1470","103472","2024/01/22"
"PLT-007","양화2주차장","13","883","2024/01/22"
"PLT-008","여의도2주차장","478","166884","2024/01/22"
"PLT-011","잠실1주차장","1959","52685","2024/01/22"
"PLT-008","여의도4주차장","246","74560","2024/01/22"
"PLT-007","양화3주차장","318","30291","2024/01/22"
"PLT-011","잠실4주차장","1695","59385","2024/01/22"
"PLT-002","난지1,2,3주차장","881","54102","2024/01/21"
"PLT-004","이촌1주차장","71","3603","2024/01/21"
"PLT-009","반포1주차장","530","20091","2024/01/21"
"PLT-007","양화3주차장","395","26632","2024/01/21"
"PLT-007","양화1주차장","114","9105","2024/01/21"
"PLT-005","뚝섬3주차장","507","55823","2024/01/21"
"PLT-005","뚝섬4주차장","508","39792","2024/01/21"
"PLT-008","여의도2주차장","571","56944","2024/01/21"
"PLT-009","반포2,3주차장","1663","127888","2024/01/21"
"PLT-003","망원2,3주차장","804","69044","2024/01/21"
"PLT-007","양화2주차장","25","1011","2024/01/21"
"PLT-011","잠실4주차장","693","41947","2024/01/21"
"PLT-006","광나루3주차장","343","24556","2024/01/21"
"PLT-010","잠원1주차장","296","18585","2024/01/21"
"PLT-011","잠실1주차장","565","24874","2024/01/21"
"PLT-005","뚝섬1주차장","115","8158","2024/01/21"
"PLT-004","이촌3,4주차장","911","69425","2024/01/21"
"PLT-005","뚝섬2주차장","511","55767","2024/01/21"
"PLT-008","여의도5주차장","154","15578","2024/01/21"
"PLT-010","잠원2-6주차장","1694","156874","2024/01/21"
"PLT-008","여의도3주차장","1929","274233","2024/01/21"
"PLT-008","여의도4주차장","51","14686","2024/01/21"
"PLT-003","망원1주차장","311","43750","2024/01/21"
"PLT-006","광나루1,2주차장","392","33827","2024/01/21"
"PLT-008","여의도1주차장","1286","95234","2024/01/21"
"PLT-006","광나루4주차장","53","2674","2024/01/21"
"PLT-001","강서1주차장","142","8269","2024/01/21"
"PLT-004","이촌2주차장","334","34553","2024/01/21"
"PLT-003","망원1주차장","246","16468","2024/01/20"
"PLT-003","망원2,3주차장","778","71766","2024/01/20"
"PLT-007","양화2주차장","24","1142","2024/01/20"
"PLT-007","양화3주차장","419","26542","2024/01/20"
"PLT-004","이촌2주차장","183","15249","2024/01/20"
"PLT-009","반포1주차장","568","14349","2024/01/20"
"PLT-005","뚝섬3주차장","422","48794","2024/01/20"
"PLT-010","잠원2-6주차장","1537","151132","2024/01/20"
"PLT-001","강서1주차장","155","9413","2024/01/20"
"PLT-007","양화1주차장","129","16199","2024/01/20"
"PLT-008","여의도3주차장","747","90080","2024/01/20"
"PLT-009","반포2,3주차장","2636","189744","2024/01/20"
"PLT-011","잠실1주차장","785","28086","2024/01/20"
"PLT-006","광나루3주차장","296","21378","2024/01/20"
"PLT-002","난지1,2,3주차장","973","57370","2024/01/20"
"PLT-008","여의도4주차장","76","19989","2024/01/20"
"PLT-004","이촌1주차장","71","11357","2024/01/20"
"PLT-010","잠원1주차장","274","24572","2024/01/20"
"PLT-008","여의도2주차장","600","101075","2024/01/20"
"PLT-008","여의도5주차장","147","17424","2024/01/20"
"PLT-006","광나루1,2주차장","339","33336","2024/01/20"
"PLT-008","여의도1주차장","1350","109845","2024/01/20"
"PLT-005","뚝섬2주차장","482","57176","2024/01/20"
"PLT-005","뚝섬1주차장","179","11646","2024/01/20"
"PLT-011","잠실4주차장","822","54627","2024/01/20"
"PLT-006","광나루4주차장","63","5488","2024/01/20"
"PLT-005","뚝섬4주차장","478","46723","2024/01/20"
"PLT-004","이촌3,4주차장","759","56442","2024/01/20"
"PLT-007","양화2주차장","15","1019","2024/01/19"
"PLT-011","잠실1주차장","1711","53499","2024/01/19"
"PLT-004","이촌3,4주차장","659","76202","2024/01/19"
"PLT-004","이촌1주차장","85","18458","2024/01/19"
"PLT-006","광나루1,2주차장","377","22439","2024/01/19"
"PLT-005","뚝섬3주차장","277","26356","2024/01/19"
"PLT-004","이촌2주차장","150","10645","2024/01/19"
"PLT-001","강서1주차장","131","8997","2024/01/19"
"PLT-008","여의도3주차장","1161","355952","2024/01/19"
"PLT-003","망원2,3주차장","568","52174","2024/01/19"
"PLT-003","망원1주차장","270","23217","2024/01/19"
"PLT-011","잠실4주차장","1691","83737","2024/01/19"
"PLT-010","잠원1주차장","314","33608","2024/01/19"
"PLT-006","광나루4주차장","97","11670","2024/01/19"
"PLT-007","양화1주차장","194","26809","2024/01/19"
"PLT-008","여의도2주차장","749","180206","2024/01/19"
"PLT-008","여의도5주차장","342","100562","2024/01/19"
"PLT-005","뚝섬1주차장","180","10944","2024/01/19"
"PLT-010","잠원2-6주차장","1367","158630","2024/01/19"
"PLT-007","양화3주차장","425","32101","2024/01/19"
"PLT-008","여의도1주차장","1504","236038","2024/01/19"
"PLT-009","반포2,3주차장","2321","119073","2024/01/19"
"PLT-005","뚝섬2주차장","508","58659","2024/01/19"
"PLT-006","광나루3주차장","333","25455","2024/01/19"
"PLT-002","난지1,2,3주차장","1098","64242","2024/01/19"
"PLT-008","여의도4주차장","267","75250","2024/01/19"
"PLT-009","반포1주차장","477","16366","2024/01/19"
"PLT-005","뚝섬4주차장","480","48506","2024/01/19"
"PLT-009","반포1주차장","389","10914","2024/01/18"
"PLT-005","뚝섬3주차장","241","27354","2024/01/18"
"PLT-006","광나루4주차장","284","11484","2024/01/18"
"PLT-010","잠원2-6주차장","1152","138718","2024/01/18"
"PLT-005","뚝섬2주차장","468","59877","2024/01/18"
"PLT-008","여의도3주차장","1086","364347","2024/01/18"
"PLT-008","여의도1주차장","1179","233472","2024/01/18"
"PLT-003","망원1주차장","200","18772","2024/01/18"
"PLT-009","반포2,3주차장","1899","114377","2024/01/18"
"PLT-004","이촌1주차장","68","14445","2024/01/18"
"PLT-006","광나루3주차장","351","27161","2024/01/18"
"PLT-008","여의도2주차장","695","178699","2024/01/18"
"PLT-005","뚝섬1주차장","160","10585","2024/01/18"
"PLT-004","이촌2주차장","131","11733","2024/01/18"
"PLT-005","뚝섬4주차장","405","38363","2024/01/18"
"PLT-011","잠실1주차장","1877","64827","2024/01/18"
"PLT-001","강서1주차장","115","6953","2024/01/18"
"PLT-011","잠실4주차장","1608","59789","2024/01/18"
"PLT-008","여의도5주차장","336","101486","2024/01/18"
"PLT-003","망원2,3주차장","596","45720","2024/01/18"
"PLT-007","양화2주차장","19","826","2024/01/18"
"PLT-007","양화1주차장","181","24227","2024/01/18"
"PLT-006","광나루1,2주차장","365","25056","2024/01/18"
"PLT-002","난지1,2,3주차장","1060","52319","2024/01/18"
"PLT-010","잠원1주차장","288","31148","2024/01/18"
"PLT-007","양화3주차장","407","35578","2024/01/18"
"PLT-008","여의도4주차장","275","74663","2024/01/18"
"PLT-004","이촌3,4주차장","491","68758","2024/01/18"
"PLT-006","광나루4주차장","279","15197","2024/01/17"
"PLT-004","이촌3,4주차장","505","67226","2024/01/17"
"PLT-011","잠실1주차장","2056","58063","2024/01/17"
"PLT-001","강서1주차장","86","4492","2024/01/17"
"PLT-009","반포2,3주차장","1479","84526","2024/01/17"
"PLT-010","잠원1주차장","219","25543","2024/01/17"
"PLT-004","이촌2주차장","103","9981","2024/01/17"
"PLT-005","뚝섬4주차장","304","32834","2024/01/17"
"PLT-002","난지1,2,3주차장","969","52566","2024/01/17"
"PLT-008","여의도1주차장","853","211500","2024/01/17"
"PLT-006","광나루3주차장","263","23027","2024/01/17"
"PLT-003","망원1주차장","139","12513","2024/01/17"
"PLT-005","뚝섬2주차장","341","45452","2024/01/17"
"PLT-008","여의도3주차장","1001","350982","2024/01/17"
"PLT-005","뚝섬3주차장","189","17895","2024/01/17"
"PLT-011","잠실4주차장","1634","58734","2024/01/17"
"PLT-009","반포1주차장","304","10893","2024/01/17"
"PLT-010","잠원2-6주차장","998","131422","2024/01/17"
"PLT-007","양화1주차장","143","22330","2024/01/17"
"PLT-005","뚝섬1주차장","109","8226","2024/01/17"
"PLT-007","양화3주차장","332","30087","2024/01/17"
"PLT-003","망원2,3주차장","415","39053","2024/01/17"
"PLT-007","양화2주차장","20","1034","2024/01/17"
"PLT-008","여의도5주차장","319","97354","2024/01/17"
"PLT-008","여의도4주차장","258","76898","2024/01/17"
"PLT-006","광나루1,2주차장","293","19437","2024/01/17"
"PLT-008","여의도2주차장","513","168570","2024/01/17"
"PLT-004","이촌1주차장","58","17259","2024/01/17"
"PLT-003","망원2,3주차장","450","38449","2024/01/16"
"PLT-005","뚝섬4주차장","329","28874","2024/01/16"
"PLT-009","반포1주차장","311","7336","2024/01/16"
"PLT-011","잠실4주차장","1052","41031","2024/01/16"
"PLT-010","잠원1주차장","209","17990","2024/01/16"
"PLT-006","광나루4주차장","167","6215","2024/01/16"
"PLT-008","여의도4주차장","93","25173","2024/01/16"
"PLT-006","광나루1,2주차장","283","17085","2024/01/16"
"PLT-004","이촌1주차장","80","9276","2024/01/16"
"PLT-004","이촌3,4주차장","363","30911","2024/01/16"
"PLT-009","반포2,3주차장","1359","71218","2024/01/16"
"PLT-008","여의도5주차장","213","47725","2024/01/16"
"PLT-001","강서1주차장","101","6384","2024/01/16"
"PLT-002","난지1,2,3주차장","716","30355","2024/01/16"
"PLT-005","뚝섬1주차장","129","7324","2024/01/16"
"PLT-008","여의도2주차장","416","93387","2024/01/16"
"PLT-010","잠원2-6주차장","867","82941","2024/01/16"
"PLT-006","광나루3주차장","226","12550","2024/01/16"
"PLT-005","뚝섬3주차장","188","20671","2024/01/16"
"PLT-005","뚝섬2주차장","380","43400","2024/01/16"
"PLT-004","이촌2주차장","111","6667","2024/01/16"
"PLT-008","여의도1주차장","817","125456","2024/01/16"
"PLT-007","양화1주차장","146","16185","2024/01/16"
"PLT-008","여의도3주차장","713","203976","2024/01/16"
"PLT-011","잠실1주차장","514","19416","2024/01/16"
"PLT-003","망원1주차장","190","11607","2024/01/16"
"PLT-007","양화2주차장","18","416","2024/01/16"
"PLT-007","양화3주차장","314","23873","2024/01/16"
"PLT-008","여의도4주차장","278","70301","2024/01/15"
"PLT-010","잠원2-6주차장","1051","108327","2024/01/15"
"PLT-008","여의도3주차장","1101","394236","2024/01/15"
"PLT-009","반포1주차장","295","8381","2024/01/15"
"PLT-010","잠원1주차장","243","16069","2024/01/15"
"PLT-006","광나루1,2주차장","308","22766","2024/01/15"
"PLT-004","이촌2주차장","116","7407","2024/01/15"
"PLT-007","양화2주차장","10","1064","2024/01/15"
"PLT-005","뚝섬3주차장","190","17094","2024/01/15"
"PLT-002","난지1,2,3주차장","960","41900","2024/01/15"
"PLT-005","뚝섬1주차장","94","5050","2024/01/15"
"PLT-007","양화3주차장","338","27690","2024/01/15"
"PLT-006","광나루3주차장","284","19288","2024/01/15"
"PLT-004","이촌1주차장","71","12473","2024/01/15"
"PLT-009","반포2,3주차장","1308","69009","2024/01/15"
"PLT-005","뚝섬4주차장","319","25378","2024/01/15"
"PLT-005","뚝섬2주차장","442","51590","2024/01/15"
"PLT-008","여의도2주차장","558","156784","2024/01/15"
"PLT-001","강서1주차장","89","4607","2024/01/15"
"PLT-008","여의도1주차장","938","196798","2024/01/15"
"PLT-008","여의도5주차장","347","103717","2024/01/15"
"PLT-006","광나루4주차장","271","11004","2024/01/15"
"PLT-011","잠실1주차장","1949","46330","2024/01/15"
"PLT-003","망원1주차장","166","13489","2024/01/15"
"PLT-003","망원2,3주차장","461","37623","2024/01/15"
"PLT-007","양화1주차장","156","22657","2024/01/15"
"PLT-004","이촌3,4주차장","608","62739","2024/01/15"
"PLT-011","잠실4주차장","1664","61936","2024/01/15"
"PLT-010","잠원1주차장","234","13840","2024/01/14"
"PLT-008","여의도4주차장","25","762","2024/01/14"
"PLT-009","반포2,3주차장","1791","156568","2024/01/14"
"PLT-008","여의도5주차장","126","13043","2024/01/14"
"PLT-001","강서1주차장","116","5918","2024/01/14"
"PLT-008","여의도3주차장","1648","226182","2024/01/14"
"PLT-002","난지1,2,3주차장","764","39062","2024/01/14"
"PLT-006","광나루1,2주차장","367","26280","2024/01/14"
"PLT-005","뚝섬2주차장","417","43498","2024/01/14"
"PLT-007","양화2주차장","19","797","2024/01/14"
"PLT-005","뚝섬1주차장","133","9215","2024/01/14"
"PLT-005","뚝섬3주차장","324","29162","2024/01/14"
"PLT-003","망원1주차장","312","45258","2024/01/14"
"PLT-004","이촌1주차장","63","3114","2024/01/14"
"PLT-004","이촌3,4주차장","820","57058","2024/01/14"
"PLT-003","망원2,3주차장","775","71767","2024/01/14"
"PLT-009","반포1주차장","518","15445","2024/01/14"
"PLT-006","광나루4주차장","42","3027","2024/01/14"
"PLT-011","잠실4주차장","699","44807","2024/01/14"
"PLT-006","광나루3주차장","266","22180","2024/01/14"
"PLT-007","양화3주차장","330","16421","2024/01/14"
"PLT-005","뚝섬4주차장","453","33803","2024/01/14"
"PLT-008","여의도2주차장","551","53571","2024/01/14"
"PLT-010","잠원2-6주차장","1321","115695","2024/01/14"
"PLT-011","잠실1주차장","512","23351","2024/01/14"
"PLT-008","여의도1주차장","1191","84591","2024/01/14"
"PLT-004","이촌2주차장","362","39084","2024/01/14"
"PLT-007","양화1주차장","99","5922","2024/01/14"
"PLT-006","광나루1,2주차장","582","39957","2024/01/13"
"PLT-002","난지1,2,3주차장","1201","72327","2024/01/13"
"PLT-009","반포1주차장","634","22781","2024/01/13"
"PLT-008","여의도4주차장","53","13377","2024/01/13"
"PLT-003","망원1주차장","282","17545","2024/01/13"
"PLT-008","여의도1주차장","1735","129277","2024/01/13"
"PLT-005","뚝섬2주차장","741","77494","2024/01/13"
"PLT-004","이촌3,4주차장","814","53320","2024/01/13"
"PLT-001","강서1주차장","176","10485","2024/01/13"
"PLT-005","뚝섬1주차장","231","15585","2024/01/13"
"PLT-005","뚝섬3주차장","508","59148","2024/01/13"
"PLT-003","망원2,3주차장","844","75309","2024/01/13"
"PLT-008","여의도3주차장","1442","193294","2024/01/13"
"PLT-007","양화2주차장","37","2128","2024/01/13"
"PLT-006","광나루4주차장","64","3737","2024/01/13"
"PLT-011","잠실4주차장","946","83418","2024/01/13"
"PLT-004","이촌1주차장","113","19442","2024/01/13"
"PLT-007","양화1주차장","188","16423","2024/01/13"
"PLT-008","여의도5주차장","137","16669","2024/01/13"
"PLT-007","양화3주차장","522","31677","2024/01/13"
"PLT-006","광나루3주차장","332","23484","2024/01/13"
"PLT-008","여의도2주차장","816","105040","2024/01/13"
"PLT-004","이촌2주차장","216","17672","2024/01/13"
"PLT-005","뚝섬4주차장","660","53901","2024/01/13"
"PLT-010","잠원2-6주차장","2048","194917","2024/01/13"
"PLT-011","잠실1주차장","868","27376","2024/01/13"
"PLT-009","반포2,3주차장","2555","192489","2024/01/13"
"PLT-010","잠원1주차장","371","24878","2024/01/13"
"PLT-003","망원2,3주차장","554","48104","2024/01/12"
"PLT-011","잠실1주차장","1996","43870","2024/01/12"
"PLT-005","뚝섬1주차장","187","13560","2024/01/12"
"PLT-005","뚝섬2주차장","475","63479","2024/01/12"
"PLT-006","광나루3주차장","289","20747","2024/01/12"
"PLT-003","망원1주차장","199","18692","2024/01/12"
"PLT-010","잠원2-6주차장","1219","141529","2024/01/12"
"PLT-008","여의도5주차장","343","108101","2024/01/12"
"PLT-006","광나루1,2주차장","412","31505","2024/01/12"
"PLT-004","이촌1주차장","80","20105","2024/01/12"
"PLT-007","양화2주차장","22","1557","2024/01/12"
"PLT-008","여의도4주차장","242","68254","2024/01/12"
"PLT-008","여의도3주차장","1306","380112","2024/01/12"
"PLT-001","강서1주차장","124","6968","2024/01/12"
"PLT-005","뚝섬4주차장","433","41761","2024/01/12"
"PLT-009","반포1주차장","448","13069","2024/01/12"
"PLT-010","잠원1주차장","315","27950","2024/01/12"
"PLT-004","이촌2주차장","167","14081","2024/01/12"
"PLT-005","뚝섬3주차장","283","30134","2024/01/12"
"PLT-008","여의도1주차장","1289","220052","2024/01/12"
"PLT-006","광나루4주차장","284","9753","2024/01/12"
"PLT-007","양화3주차장","421","38172","2024/01/12"
"PLT-004","이촌3,4주차장","703","78380","2024/01/12"
"PLT-007","양화1주차장","186","24382","2024/01/12"
"PLT-011","잠실4주차장","1689","63342","2024/01/12"
"PLT-008","여의도2주차장","667","165921","2024/01/12"
"PLT-009","반포2,3주차장","1931","113360","2024/01/12"
"PLT-002","난지1,2,3주차장","1095","56068","2024/01/12"
"PLT-006","광나루1,2주차장","420","32512","2024/01/11"
"PLT-006","광나루3주차장","262","22457","2024/01/11"
"PLT-003","망원1주차장","226","18766","2024/01/11"
"PLT-008","여의도5주차장","389","117276","2024/01/11"
"PLT-007","양화2주차장","22","1661","2024/01/11"
"PLT-005","뚝섬3주차장","223","22423","2024/01/11"
"PLT-008","여의도1주차장","1115","235830","2024/01/11"
"PLT-008","여의도2주차장","635","173812","2024/01/11"
"PLT-008","여의도3주차장","1209","397944","2024/01/11"
"PLT-009","반포2,3주차장","1868","112594","2024/01/11"
"PLT-010","잠원1주차장","258","28681","2024/01/11"
"PLT-011","잠실4주차장","1765","60249","2024/01/11"
"PLT-011","잠실1주차장","2057","54223","2024/01/11"
"PLT-005","뚝섬4주차장","420","41686","2024/01/11"
"PLT-006","광나루4주차장","297","12955","2024/01/11"
"PLT-004","이촌3,4주차장","540","71449","2024/01/11"
"PLT-001","강서1주차장","104","5803","2024/01/11"
"PLT-004","이촌2주차장","153","12329","2024/01/11"
"PLT-004","이촌1주차장","77","22050","2024/01/11"
"PLT-009","반포1주차장","376","10978","2024/01/11"
"PLT-007","양화3주차장","399","36475","2024/01/11"
"PLT-002","난지1,2,3주차장","1080","60910","2024/01/11"
"PLT-010","잠원2-6주차장","1112","143765","2024/01/11"
"PLT-008","여의도4주차장","227","64564","2024/01/11"
"PLT-005","뚝섬1주차장","148","10849","2024/01/11"
"PLT-005","뚝섬2주차장","422","60314","2024/01/11"
"PLT-007","양화1주차장","186","29469","2024/01/11"
"PLT-003","망원2,3주차장","462","46091","2024/01/11"
"PLT-007","양화2주차장","21","1356","2024/01/10"
"PLT-004","이촌1주차장","74","19363","2024/01/10"
"PLT-006","광나루3주차장","269","24151","2024/01/10"
"PLT-005","뚝섬4주차장","370","35279","2024/01/10"
"PLT-004","이촌2주차장","132","10642","2024/01/10"
"PLT-005","뚝섬1주차장","141","9509","2024/01/10"
"PLT-006","광나루1,2주차장","393","29724","2024/01/10"
"PLT-001","강서1주차장","116","4807","2024/01/10"
"PLT-007","양화1주차장","144","24518","2024/01/10"
"PLT-008","여의도5주차장","321","107916","2024/01/10"
"PLT-010","잠원1주차장","283","30769","2024/01/10"
"PLT-009","반포2,3주차장","1447","91537","2024/01/10"
"PLT-003","망원2,3주차장","442","41016","2024/01/10"
"PLT-008","여의도3주차장","1226","386306","2024/01/10"
"PLT-010","잠원2-6주차장","1088","127472","2024/01/10"
"PLT-007","양화3,4,5주차장","374","34350","2024/01/10"
"PLT-006","광나루4주차장","244","14811","2024/01/10"
"PLT-004","이촌3,4주차장","591","74927","2024/01/10"
"PLT-011","잠실4주차장","1554","56970","2024/01/10"
"PLT-009","반포1주차장","329","8855","2024/01/10"
"PLT-008","여의도4주차장","213","64809","2024/01/10"
"PLT-005","뚝섬3주차장","222","24553","2024/01/10"
"PLT-002","난지1,2,3주차장","948","53047","2024/01/10"
"PLT-005","뚝섬2주차장","372","53405","2024/01/10"
"PLT-003","망원1주차장","236","16350","2024/01/10"
"PLT-008","여의도2주차장","538","158580","2024/01/10"
"PLT-008","여의도1주차장","1029","224017","2024/01/10"
"PLT-011","잠실1주차장","1857","60222","2024/01/10"
"PLT-005","뚝섬1주차장","111","9246","2024/01/09"
"PLT-003","망원2,3주차장","341","31850","2024/01/09"
"PLT-005","뚝섬4주차장","286","24843","2024/01/09"
"PLT-011","잠실4주차장","1363","48001","2024/01/09"
"PLT-010","잠원2-6주차장","955","111285","2024/01/09"
"PLT-007","양화3,4,5주차장","287","24221","2024/01/09"
"PLT-008","여의도4주차장","197","55516","2024/01/09"
"PLT-008","여의도3주차장","829","264430","2024/01/09"
"PLT-006","광나루1,2주차장","253","19374","2024/01/09"
"PLT-001","강서1주차장","75","3449","2024/01/09"
"PLT-008","여의도1주차장","787","170719","2024/01/09"
"PLT-011","잠실1주차장","1548","34319","2024/01/09"
"PLT-003","망원1주차장","149","11547","2024/01/09"
"PLT-006","광나루4주차장","166","10949","2024/01/09"
"PLT-006","광나루3주차장","240","21183","2024/01/09"
"PLT-009","반포1주차장","211","7483","2024/01/09"
"PLT-010","잠원1주차장","186","19754","2024/01/09"
"PLT-004","이촌3,4주차장","358","59997","2024/01/09"
"PLT-004","이촌1주차장","48","17446","2024/01/09"
"PLT-008","여의도2주차장","413","119677","2024/01/09"
"PLT-008","여의도5주차장","266","88646","2024/01/09"
"PLT-007","양화2주차장","16","583","2024/01/09"
"PLT-002","난지1,2,3주차장","767","45776","2024/01/09"
"PLT-007","양화1주차장","119","13964","2024/01/09"
"PLT-005","뚝섬2주차장","328","49452","2024/01/09"
"PLT-005","뚝섬3주차장","161","17764","2024/01/09"
"PLT-004","이촌2주차장","97","8867","2024/01/09"
"PLT-009","반포2,3주차장","1067","72071","2024/01/09"
"PLT-004","이촌3,4주차장","648","90884","2024/01/08"
"PLT-005","뚝섬3주차장","190","17996","2024/01/08"
"PLT-008","여의도3주차장","1159","425225","2024/01/08"
"PLT-006","광나루4주차장","290","11711","2024/01/08"
"PLT-004","이촌2주차장","134","11800","2024/01/08"
"PLT-010","잠원1주차장","259","31569","2024/01/08"
"PLT-007","양화2주차장","19","969","2024/01/08"
"PLT-007","양화1주차장","181","27123","2024/01/08"
"PLT-008","여의도4주차장","257","75425","2024/01/08"
"PLT-006","광나루1,2주차장","333","27207","2024/01/08"
"PLT-001","강서1주차장","90","3643","2024/01/08"
"PLT-004","이촌1주차장","79","20159","2024/01/08"
"PLT-009","반포2,3주차장","1450","75625","2024/01/08"
"PLT-006","광나루3주차장","302","20905","2024/01/08"
"PLT-007","양화3,4,5주차장","344","27545","2024/01/08"
"PLT-009","반포1주차장","282","7012","2024/01/08"
"PLT-010","잠원2-6주차장","1103","134753","2024/01/08"
"PLT-003","망원1주차장","152","12836","2024/01/08"
"PLT-008","여의도2주차장","560","159094","2024/01/08"
"PLT-005","뚝섬4주차장","348","37941","2024/01/08"
"PLT-011","잠실1주차장","2093","50476","2024/01/08"
"PLT-011","잠실4주차장","166","4773","2024/01/08"
"PLT-008","여의도5주차장","350","109026","2024/01/08"
"PLT-008","여의도1주차장","921","212424","2024/01/08"
"PLT-005","뚝섬1주차장","151","15766","2024/01/08"
"PLT-005","뚝섬2주차장","412","60078","2024/01/08"
"PLT-003","망원2,3주차장","507","56562","2024/01/08"
"PLT-002","난지1,2,3주차장","1057","48105","2024/01/08"
"PLT-006","광나루3주차장","260","15046","2024/01/07"
"PLT-007","양화3,4,5주차장","353","19336","2024/01/07"
"PLT-008","여의도2주차장","452","40938","2024/01/07"
"PLT-006","광나루1,2주차장","404","23240","2024/01/07"
"PLT-011","잠실1주차장","504","20522","2024/01/07"
"PLT-005","뚝섬4주차장","510","41520","2024/01/07"
"PLT-009","반포1주차장","432","12658","2024/01/07"
"PLT-002","난지1,2,3주차장","754","38863","2024/01/07"
"PLT-003","망원2,3주차장","757","59287","2024/01/07"
"PLT-005","뚝섬3주차장","464","49982","2024/01/07"
"PLT-004","이촌2주차장","301","31560","2024/01/07"
"PLT-009","반포2,3주차장","1615","117281","2024/01/07"
"PLT-005","뚝섬2주차장","544","55924","2024/01/07"
"PLT-003","망원1주차장","310","27694","2024/01/07"
"PLT-008","여의도3주차장","1959","277348","2024/01/07"
"PLT-008","여의도5주차장","151","13494","2024/01/07"
"PLT-005","뚝섬1주차장","163","12738","2024/01/07"
"PLT-008","여의도1주차장","1114","84054","2024/01/07"
"PLT-008","여의도4주차장","26","529","2024/01/07"
"PLT-007","양화2주차장","23","794","2024/01/07"
"PLT-004","이촌1주차장","56","2955","2024/01/07"
"PLT-010","잠원2-6주차장","1689","144618","2024/01/07"
"PLT-007","양화1주차장","115","6479","2024/01/07"
"PLT-001","강서1주차장","128","5551","2024/01/07"
"PLT-010","잠원1주차장","296","15799","2024/01/07"
"PLT-004","이촌3,4주차장","847","60385","2024/01/07"
"PLT-006","광나루4주차장","48","658","2024/01/07"
"PLT-005","뚝섬4주차장","700","58401","2024/01/06"
"PLT-007","양화1주차장","156","15476","2024/01/06"
"PLT-006","광나루1,2주차장","577","37996","2024/01/06"
"PLT-006","광나루3주차장","394","19920","2024/01/06"
"PLT-006","광나루4주차장","64","3044","2024/01/06"
"PLT-001","강서1주차장","183","8454","2024/01/06"
"PLT-008","여의도1주차장","1456","107035","2024/01/06"
"PLT-008","여의도2주차장","725","96807","2024/01/06"
"PLT-002","난지1,2,3주차장","1204","73195","2024/01/06"
"PLT-008","여의도3주차장","1036","127161","2024/01/06"
"PLT-005","뚝섬2주차장","678","68407","2024/01/06"
"PLT-008","여의도4주차장","30","2355","2024/01/06"
"PLT-007","양화2주차장","27","1069","2024/01/06"
"PLT-009","반포2,3주차장","2281","167191","2024/01/06"
"PLT-004","이촌3,4주차장","820","68723","2024/01/06"
"PLT-004","이촌2주차장","227","17533","2024/01/06"
"PLT-011","잠실1주차장","664","21970","2024/01/06"
"PLT-007","양화3,4,5주차장","482","31748","2024/01/06"
