지구별,주차장명,년도,월,휴일여부,평균기온,최저기온,최고기온,요일,영동_아침주차,영동_낮주차,영동_저녁주차,청담_아침주차,청담_낮주차,청담_저녁주차,영동_아침이용,영동_낮이용,영동_저녁이용,청담_아침이용,청담_낮이용,청담_저녁이용,총 주차 대수
PLT-005,뚝섬2주차장,2024,2,0,4.8,0.3,9.6,3,97.50129143349115,222.28138900846605,198.21731955804276,136.90987251704715,204.8571663866653,176.23296109628748,10324.219758932411,23536.93858516286,20988.841655904722,14497.116809961459,21691.9219619857,18660.961228052834,356
PLT-005,뚝섬1주차장,2024,2,0,4.8,0.3,9.6,3,32.939625484287546,75.0950638542115,66.96531066150094,46.253335309813224,69.20850215765721,59.538162532529554,1900.710503659061,4333.199741713302,3864.0897546276365,2668.9495997628223,3993.5283130744137,3435.5220871627625,67
PLT-005,뚝섬3주차장,2024,2,0,4.8,0.3,9.6,3,48.93887214808436,111.56980915482852,99.4913186970871,68.7192410317225,102.82406034851927,88.4566986197582,3807.2560266896244,8679.702037595063,7740.0419357153105,5346.092647494812,7999.316417959612,6881.590934545573,112
PLT-005,뚝섬4주차장,2024,2,0,4.8,0.3,9.6,3,99.00710288420143,225.71430621323,201.2785909025685,139.0243107026386,208.0209836281582,178.95470566920312,10313.114399483424,23511.620820777727,20966.26477973884,14481.522828342722,21668.58880982969,18640.888361827583,136
PLT-005,뚝섬3주차장,2024,2,0,6.4,3.2,10.1,2,39.0416151858924,84.1721891497248,71.78619566438277,53.63459071080318,81.33589940980241,60.0295098793944,3496.527013366281,7538.374929798943,6429.098056834773,4803.4589342229065,7284.359729706612,5376.181336070481,112
PLT-005,뚝섬2주차장,2024,2,0,6.4,3.2,10.1,2,97.70414467033584,210.64629900033694,179.64955632932717,134.2240013685741,203.5483021127363,150.22769651868958,11735.709311468045,25301.728406155227,21578.562282376723,16122.282918484305,24449.154255410143,18044.56282610555,356
PLT-005,뚝섬4주차장,2024,2,0,6.4,3.2,10.1,2,104.91182747388521,226.18578007413228,192.90239245198245,144.1257719613378,218.5641604653152,161.310067573347,12123.322475570032,26137.407166123776,22291.270358306185,16654.778137028483,25256.67374903772,18640.548113933794,136
PLT-005,뚝섬1주차장,2024,2,0,6.4,3.2,10.1,2,38.24076154105358,82.44558014152533,70.31365831742109,52.53439397827389,79.66747070396032,58.7981353177658,2674.0503201168144,5765.147478378074,4916.80220150511,3673.5568899153195,5570.883448806774,4111.559661277906,67
PLT-005,뚝섬4주차장,2024,2,0,5.3,1.2,9.8,1,102.92289411143382,225.31636425364968,190.7607416349164,142.35882231618027,218.70753841394242,157.93363926987723,13208.438077634008,28915.600079218373,24480.961843147605,18269.382197243132,28067.467429789278,20268.15037296758,136
PLT-005,뚝섬2주차장,2024,2,0,5.3,1.2,9.8,1,101.33641404805913,221.84327964087666,187.82030631106414,140.16446667354165,215.33632394898763,155.49920937747066,11691.366517031947,25594.462918254172,21669.170564713866,16171.029613969957,24843.743597676254,17940.226788353782,356
PLT-005,뚝섬1주차장,2024,2,0,5.3,1.2,9.8,1,34.902561394243456,76.40786148100644,64.68957712475007,48.27582413804957,74.16671822900553,53.55745763294489,2631.5738051227877,5760.979101437247,4877.447093439963,3639.8874222268055,5592.001993743769,4038.110584029424,67
PLT-005,뚝섬3주차장,2024,2,0,5.3,1.2,9.8,1,44.024821758647995,96.3780980044513,81.59708023690067,60.893369083221614,93.55120140249561,67.55542951428275,3531.9012410879313,7731.954619185935,6546.14413972613,4885.184249424221,7505.166202605616,5419.649547970162,112
PLT-005,뚝섬1주차장,2024,2,0,3.8,-1.2,9.7,0,33.09119621002764,73.8265890248717,58.08221476510066,48.28667521382532,69.89875129524579,46.81457349092888,2234.9593367548364,4986.203079352546,3922.8375838926167,3261.2527792901174,4720.919299601328,3161.827921108554,67
PLT-005,뚝섬2주차장,2024,2,0,3.8,-1.2,9.7,0,105.08961705487565,234.4553493880774,184.45503355704696,153.34677461845132,221.9814889618715,148.67173641967716,13895.093564942756,31000.008448480065,24388.897986577176,20275.721245543475,29350.69748327157,19657.581271184947,356
PLT-005,뚝섬3주차장,2024,2,0,3.8,-1.2,9.7,0,49.73707066719305,110.96360047374655,87.29932885906038,72.57633607896169,105.05994134073308,70.36372258030522,5147.7868140544815,11484.732649032769,9035.48053691275,7511.650784172535,10873.703928765874,7282.64528706159,112
PLT-005,뚝섬4주차장,2024,2,0,3.8,-1.2,9.7,0,102.08132649032768,227.74384129490724,179.17483221476508,148.95707687173993,215.62705702594005,144.41586610232,11264.44374259771,25131.018337939204,19771.537919463084,16437.076889302585,23793.958569697395,15935.964541000014,136
PLT-005,뚝섬1주차장,2024,2,1,2.8,0.8,5.9,6,74.37587975065351,199.99145385079427,135.63266639855215,88.31291253709048,195.69366787105628,125.9934195918532,4285.139101146188,11522.434446008445,7814.426452845363,5088.11614622232,11274.819079146564,7259.064774631112,67
PLT-005,뚝섬4주차장,2024,2,1,2.8,0.8,5.9,6,140.58855318721092,378.03262618137944,256.37882063140955,166.93294442986615,369.9087624391917,238.158293130942,14622.29795897848,39318.31982706615,26665.382213955356,17362.318604791988,38473.37510344967,24770.306291758337,136
PLT-005,뚝섬2주차장,2024,2,1,2.8,0.8,5.9,6,179.04632515584152,481.4428413432536,326.5108335009048,212.59718213197146,471.09670777739643,303.306110090632,27514.3589885381,73984.15553991555,50175.485471546344,32670.177307684542,72394.24726993803,46609.57542237742,356
