지구별,주차장명,주차대수,이용시간,날짜,년도,월,일,휴일여부,1대당 평균 주차시간
PLT-005,뚝섬1주차장,267,19975.0,2024-08-14,2024,8,14,평일,74.812734082397
PLT-005,뚝섬2주차장,576,62346.0,2024-08-14,2024,8,14,평일,108.23958333333333
PLT-005,뚝섬3주차장,473,66233.0,2024-08-14,2024,8,14,평일,140.02748414376322
PLT-005,뚝섬1주차장,205,15227.0,2024-08-13,2024,8,13,평일,74.27804878048781
PLT-005,뚝섬3주차장,465,62656.0,2024-08-13,2024,8,13,평일,134.74408602150538
PLT-005,뚝섬4주차장,587,61835.0,2024-08-13,2024,8,13,평일,105.34071550255537
PLT-005,뚝섬2주차장,474,54473.0,2024-08-13,2024,8,13,평일,114.92194092827005
PLT-005,뚝섬3주차장,486,67234.0,2024-08-12,2024,8,12,평일,138.34156378600824
PLT-005,뚝섬4주차장,560,50251.0,2024-08-12,2024,8,12,평일,89.73392857142858
PLT-005,뚝섬1주차장,232,17434.0,2024-08-12,2024,8,12,평일,75.14655172413794
PLT-005,뚝섬2주차장,564,68305.0,2024-08-12,2024,8,12,평일,121.1081560283688
PLT-005,뚝섬2주차장,1098,140835.0,2024-08-11,2024,8,11,주말,128.26502732240436
PLT-005,뚝섬4주차장,989,96852.0,2024-08-11,2024,8,11,주말,97.92922143579374
PLT-005,뚝섬1주차장,317,27801.0,2024-08-11,2024,8,11,주말,87.70031545741325
PLT-005,뚝섬3주차장,781,114563.0,2024-08-11,2024,8,11,주말,146.68758002560818
PLT-005,뚝섬1주차장,355,34645.0,2024-08-10,2024,8,10,주말,97.59154929577464
PLT-005,뚝섬2주차장,1170,138778.0,2024-08-10,2024,8,10,주말,118.61367521367521
PLT-005,뚝섬3주차장,742,103995.0,2024-08-10,2024,8,10,주말,140.15498652291106
PLT-005,뚝섬4주차장,958,96923.0,2024-08-10,2024,8,10,주말,101.1722338204593
PLT-005,뚝섬3주차장,582,76587.0,2024-08-09,2024,8,9,평일,131.59278350515464
PLT-005,뚝섬4주차장,626,62565.0,2024-08-09,2024,8,9,평일,99.94408945686901
PLT-005,뚝섬2주차장,620,69964.0,2024-08-09,2024,8,9,평일,112.84516129032258
PLT-005,뚝섬1주차장,215,15244.0,2024-08-09,2024,8,9,평일,70.90232558139535
PLT-005,뚝섬1주차장,196,12980.0,2024-08-08,2024,8,8,평일,66.22448979591837
PLT-005,뚝섬4주차장,618,64288.0,2024-08-08,2024,8,8,평일,104.02588996763754
PLT-005,뚝섬2주차장,581,70819.0,2024-08-08,2024,8,8,평일,121.89156626506023
PLT-005,뚝섬3주차장,500,70536.0,2024-08-08,2024,8,8,평일,141.072
PLT-005,뚝섬3주차장,498,72424.0,2024-08-07,2024,8,7,평일,145.429718875502
PLT-005,뚝섬2주차장,513,59314.0,2024-08-07,2024,8,7,평일,115.62183235867447
PLT-005,뚝섬4주차장,634,61961.0,2024-08-07,2024,8,7,평일,97.73028391167192
PLT-005,뚝섬1주차장,216,22830.0,2024-08-07,2024,8,7,평일,105.69444444444444
PLT-005,뚝섬4주차장,534,60425.0,2024-08-06,2024,8,6,평일,113.15543071161049
PLT-005,뚝섬2주차장,544,68633.0,2024-08-06,2024,8,6,평일,126.16360294117646
PLT-005,뚝섬1주차장,202,12967.0,2024-08-06,2024,8,6,평일,64.1930693069307
PLT-005,뚝섬3주차장,452,61773.0,2024-08-06,2024,8,6,평일,136.66592920353983
PLT-005,뚝섬3주차장,433,67245.0,2024-08-05,2024,8,5,평일,155.3002309468822
PLT-005,뚝섬1주차장,158,11030.0,2024-08-05,2024,8,5,평일,69.81012658227849
PLT-005,뚝섬4주차장,462,50731.0,2024-08-05,2024,8,5,평일,109.8073593073593
PLT-005,뚝섬2주차장,499,62367.0,2024-08-05,2024,8,5,평일,124.98396793587175
PLT-005,뚝섬2주차장,1120,143504.0,2024-08-04,2024,8,4,주말,128.12857142857143
PLT-005,뚝섬3주차장,644,97129.0,2024-08-04,2024,8,4,주말,150.82142857142858
PLT-005,뚝섬4주차장,905,91686.0,2024-08-04,2024,8,4,주말,101.31049723756907
PLT-005,뚝섬1주차장,302,28057.0,2024-08-04,2024,8,4,주말,92.90397350993378
PLT-005,뚝섬1주차장,320,30793.0,2024-08-03,2024,8,3,주말,96.228125
PLT-005,뚝섬3주차장,694,106566.0,2024-08-03,2024,8,3,주말,153.55331412103746
PLT-005,뚝섬4주차장,958,97756.0,2024-08-03,2024,8,3,주말,102.04175365344467
PLT-005,뚝섬2주차장,1215,156573.0,2024-08-03,2024,8,3,주말,128.86666666666667
PLT-005,뚝섬4주차장,756,73123.0,2024-08-02,2024,8,2,평일,96.72354497354497
PLT-005,뚝섬3주차장,560,85507.0,2024-08-02,2024,8,2,평일,152.69107142857143
PLT-005,뚝섬1주차장,246,20036.0,2024-08-02,2024,8,2,평일,81.44715447154472
PLT-005,뚝섬2주차장,850,101122.0,2024-08-02,2024,8,2,평일,118.96705882352941
PLT-005,뚝섬2주차장,870,111535.0,2024-08-01,2024,8,1,평일,128.20114942528735
PLT-005,뚝섬4주차장,796,87587.0,2024-08-01,2024,8,1,평일,110.03391959798995
PLT-005,뚝섬1주차장,239,18430.0,2024-08-01,2024,8,1,평일,77.11297071129707
PLT-005,뚝섬3주차장,568,86757.0,2024-08-01,2024,8,1,평일,152.7411971830986
PLT-005,뚝섬2주차장,751,93357.0,2024-07-31,2024,7,31,평일,124.31025299600533
PLT-005,뚝섬1주차장,251,18996.0,2024-07-31,2024,7,31,평일,75.6812749003984
PLT-005,뚝섬4주차장,691,71542.0,2024-07-31,2024,7,31,평일,103.53400868306802
PLT-005,뚝섬3주차장,618,92548.0,2024-07-31,2024,7,31,평일,149.75404530744336
PLT-005,뚝섬3주차장,523,80347.0,2024-07-30,2024,7,30,평일,153.62715105162525
PLT-005,뚝섬4주차장,729,80189.0,2024-07-30,2024,7,30,평일,109.99862825788752
PLT-005,뚝섬2주차장,751,95429.0,2024-07-30,2024,7,30,평일,127.06924101198402
PLT-005,뚝섬1주차장,219,16296.0,2024-07-30,2024,7,30,평일,74.41095890410959
PLT-005,뚝섬3주차장,472,75270.0,2024-07-29,2024,7,29,평일,159.47033898305085
PLT-005,뚝섬2주차장,665,91741.0,2024-07-29,2024,7,29,평일,137.95639097744362
PLT-005,뚝섬1주차장,211,15256.0,2024-07-29,2024,7,29,평일,72.30331753554502
PLT-005,뚝섬4주차장,605,64503.0,2024-07-29,2024,7,29,평일,106.61652892561983
PLT-005,뚝섬2주차장,1205,163160.0,2024-07-28,2024,7,28,주말,135.40248962655602
